lake,learner,k,rep,label_only_log_mae,calibrated_log_mae,source_only_log_mae,paired_delta_mae,rer_log,rer_reconstruction_denominator,reconstructed_rer
Lake Jasień Południowy,XGBoost,3,66,0.2102565737181126,0.1345324109239889,,0.0757241627941237,0.3601512088470237,0.6398487911529763,0.36015120884702373
Lake Jasień Południowy,MLP,3,66,0.21025657371811254,0.138503731682388,,0.07175284203572455,0.3412632354567427,0.6587367645432574,0.3412632354567426
Lake Jasień Południowy,PLSR,5,66,0.19599302409653077,0.1797737303833984,,0.016219293713132382,0.0827544396559728,0.9172455603440272,0.08275443965597284
Lake Jasień Południowy,XGBoost,5,66,0.1959930240965308,0.1289166939713923,,0.0670763301251385,0.3422383373691841,0.6577616626308159,0.3422383373691841
Lake Jasień Południowy,MLP,5,66,0.19599302409653072,0.1125768569677868,,0.08341616712874392,0.4256078156719575,0.5743921843280425,0.4256078156719575
Lake Jasień Południowy,PLSR,10,66,0.22309895798282617,0.1626107651791541,,0.06048819280367207,0.2711271744131437,0.7288728255868563,0.2711271744131437
Lake Jasień Południowy,XGBoost,10,66,0.2230989579828262,0.1302051192017962,,0.09289383878103,0.4163795091521034,0.5836204908478966,0.41637950915210337
Lake Jasień Południowy,MLP,10,66,0.2230989579828262,0.1405170910936777,,0.08258186688914851,0.3701579959594682,0.6298420040405318,0.37015799595946824
Lake Jasień Południowy,PLSR,1,67,0.18822088071117127,0.1732867463994167,,0.014934134311754554,0.0793436597570419,0.9206563402429581,0.07934365975704197
Lake Jasień Południowy,XGBoost,1,67,0.18822088071117118,0.1251948914149943,,0.06302598929617689,0.3348511903117682,0.6651488096882319,0.33485119031176813
Lake Jasień Południowy,MLP,1,67,0.18822088071117124,0.1160584837569905,,0.07216239695418074,0.3833920702506683,0.6166079297493317,0.3833920702506684
Lake Jasień Południowy,PLSR,3,67,0.19290214745653184,0.1726849606493798,,0.020217186807152038,0.1048053949925767,0.8951946050074233,0.10480539499257667
Lake Jasień Południowy,XGBoost,3,67,0.19290214745653195,0.1263543631793682,,0.06654778427716374,0.3449820632107727,0.6550179367892273,0.34498206321077274
Lake Jasień Południowy,MLP,3,67,0.1929021474565319,0.1612972937325366,,0.031604853723995296,0.1638387778587549,0.8361612221412451,0.16383877785875495
Lake Jasień Południowy,PLSR,5,67,0.20056485514380384,0.1702132466140669,,0.03035160852973695,0.1513306356423645,0.8486693643576355,0.1513306356423645
Lake Jasień Południowy,XGBoost,5,67,0.20056485514380387,0.1252589165606102,,0.07530593858319368,0.3754692454692888,0.6245307545307113,0.37546924546928867
Lake Jasień Południowy,MLP,5,67,0.2005648551438039,0.135644994905849,,0.0649198602379549,0.3236851090115295,0.6763148909884704,0.32368510901152964
Lake Jasień Południowy,PLSR,10,67,0.17738060133530859,0.1178196972553537,,0.05956090407995489,0.3357802390666299,0.6642197609333701,0.33578023906662996
Lake Jasień Południowy,XGBoost,10,67,0.17738060133530856,0.0986164000816255,,0.07876420125368305,0.444040646047794,0.5559593539522061,0.444040646047794
Lake Jasień Południowy,MLP,10,67,0.1773806013353086,0.1154660296034261,,0.061914571731882515,0.3490492634217124,0.6509507365782876,0.3490492634217124
Lake Jasień Południowy,PLSR,1,68,0.20081830340995824,0.2069629978571328,,-0.0061446944471745535,-0.0305982773325586,1.0305982773325586,-0.030598277332558498
Lake Jasień Południowy,XGBoost,1,68,0.20081830340995818,0.1700440001060442,,0.03077430330391398,0.1532445063468397,0.8467554936531603,0.1532445063468397
Lake Jasień Południowy,MLP,1,68,0.20081830340995818,0.1177661412671616,,0.08305216214279658,0.413568666784143,0.586431333215857,0.41356866678414295
Lake Jasień Południowy,PLSR,3,68,0.17642583067354584,0.1686097267604178,,0.007816103913128036,0.0443024892685123,0.9556975107314877,0.044302489268512366
Lake Jasień Południowy,XGBoost,3,68,0.17642583067354586,0.1237540572270468,,0.052671773446499065,0.2985490858108572,0.7014509141891427,0.2985490858108572
Lake Jasień Południowy,MLP,3,68,0.17642583067354592,0.0997720756167777,,0.07665375505676822,0.4344814499062326,0.5655185500937674,0.4344814499062326
Lake Jasień Południowy,PLSR,5,68,0.17256703613331514,0.1639959122675588,,0.008571123865756342,0.0496683698180404,0.9503316301819595,0.04966836981804044
Lake Jasień Południowy,XGBoost,5,68,0.17256703613331512,0.1140907025786069,,0.058476333554708215,0.338861531590063,0.6611384684099371,0.338861531590063
Lake Jasień Południowy,MLP,5,68,0.17256703613331514,0.1124030412820929,,0.060163994851222244,0.3486412742137516,0.6513587257862484,0.3486412742137516
Lake Jasień Południowy,PLSR,10,68,0.20708996933276938,0.1577345207796707,,0.049355448553098674,0.2383285213129035,0.7616714786870965,0.23832852131290352
Lake Jasień Południowy,XGBoost,10,68,0.20708996933276927,0.1155199814725017,,0.09156998786026757,0.4421748853097588,0.5578251146902412,0.4421748853097588
Lake Jasień Południowy,MLP,10,68,0.20708996933276935,0.1395596430447865,,0.06753032628798286,0.3260917138799339,0.673908286120066,0.32609171387993396
Lake Jasień Południowy,PLSR,1,69,0.21783071532063106,0.1953520055870602,,0.022478709733570856,0.1031934760373397,0.8968065239626604,0.10319347603733965
Lake Jasień Południowy,XGBoost,1,69,0.21783071532063109,0.1390786451482333,,0.0787520701723978,0.3615287515408143,0.6384712484591857,0.36152875154081426
Lake Jasień Południowy,MLP,1,69,0.21783071532063106,0.1160584837569905,,0.10177223156364056,0.4672078808617985,0.5327921191382015,0.46720788086179854
Lake Jasień Południowy,PLSR,3,69,0.1800814296840783,0.1692807017700714,,0.010800727914006908,0.0599769078532186,0.9400230921467814,0.0599769078532186
Lake Jasień Południowy,XGBoost,3,69,0.18008142968407817,0.1224327428447211,,0.057648686839357074,0.32012564393361,0.67987435606639,0.32012564393361004
Lake Jasień Południowy,MLP,3,69,0.1800814296840782,0.1176742556257171,,0.0624071740583611,0.3465497286552334,0.6534502713447665,0.34654972865523354
