lake,learner,k,lake_label_only_log_mae,lake_calibrated_log_mae,lake_source_only_log_mae,lake_paired_delta_mae,repeat_count,positive_delta_repeat_fraction,median_component_difference,median_pairing_gap
High Rock Lake,XGBoost,10,0.22966553357713435,0.2000028932049718,,0.030049883693374996,100,0.66,0.02966264037216254,0.00038724332121245486
Ibitinga Reservoir,MLP,1,0.4339058956987744,0.24275402293590287,,0.1816623615525001,100,0.97,0.19115187276287154,-0.009489511210371449
Ibitinga Reservoir,MLP,3,0.36794280444809946,0.2088778620498885,,0.16163903791267767,100,1.0,0.15906494239821095,0.0025740955144667177
Ibitinga Reservoir,MLP,5,0.3714519020592467,0.21478866518186485,,0.1490470738529075,100,0.88,0.15666323687738187,-0.007616163024474376
Ibitinga Reservoir,MLP,10,0.3491890697926625,0.2051428424406969,,0.14513960107513887,100,1.0,0.14404622735196562,0.001093373723173252
Ibitinga Reservoir,PLSR,1,0.43390589569877447,0.3109114845405023,,0.11124810561705373,100,1.0,0.12299441115827214,-0.011746305541218416
Ibitinga Reservoir,PLSR,3,0.3679428044480995,0.25472241442233867,,0.11471241304617445,100,1.0,0.11322039002576084,0.0014920230204136103
Ibitinga Reservoir,PLSR,5,0.3714519020592467,0.25955621667294304,,0.11008322034187126,100,0.87,0.11189568538630368,-0.0018124650444324153
Ibitinga Reservoir,PLSR,10,0.3491890697926625,0.2666005383798564,,0.0914439775387717,100,0.93,0.08258853141280609,0.008855446125965616
Ibitinga Reservoir,XGBoost,1,0.4339058956987744,0.26942364033828664,,0.1357212566190683,100,1.0,0.16448225536048777,-0.028760998741419463
Ibitinga Reservoir,XGBoost,3,0.36794280444809946,0.23659947345469615,,0.13167797710858103,100,0.98,0.1313433309934033,0.00033464611517772247
Ibitinga Reservoir,XGBoost,5,0.37145190205924683,0.2246482420353905,,0.13925802828328726,100,0.87,0.14680366002385634,-0.007545631740569075
Ibitinga Reservoir,XGBoost,10,0.3491890697926625,0.189863286194292,,0.15829465143673532,100,1.0,0.15932578359837052,-0.0010311321616351954
Lake Chotkowskie,MLP,1,0.32707795100544046,0.17131328937518803,,0.16270102596861685,100,1.0,0.15576466163025243,0.00693636433836442
Lake Chotkowskie,MLP,3,0.29987116186235707,0.14294398530645805,,0.15526800189824752,100,1.0,0.15692717655589902,-0.001659174657651502
Lake Chotkowskie,MLP,5,0.29947068842770364,0.14846371697996086,,0.15560388538425884,100,1.0,0.15100697144774278,0.004596913936516067
Lake Chotkowskie,MLP,10,0.29454415908083253,0.1279990256412252,,0.16672154194735397,100,1.0,0.16654513343960733,0.0001764085077466393
Lake Chotkowskie,PLSR,1,0.32707795100544057,0.27785876761861805,,0.04743941871414925,100,1.0,0.04921918338682252,-0.0017797646726732674
Lake Chotkowskie,PLSR,3,0.2998711618623572,0.23671367676894411,,0.055292539885049063,100,0.99,0.06315748509341307,-0.007864945208364005
Lake Chotkowskie,PLSR,5,0.2994706884277036,0.19513312564228424,,0.10820736357039212,100,0.97,0.10433756278541934,0.003869800784972788
Lake Chotkowskie,PLSR,10,0.29454415908083265,0.1621776712144963,,0.1364737379167357,100,0.99,0.13236648786633634,0.004107250050399358
Lake Chotkowskie,XGBoost,1,0.32707795100544046,0.1467663690301696,,0.19706403527239816,100,1.0,0.18031158197527086,0.016752453297127295
Lake Chotkowskie,XGBoost,3,0.29987116186235707,0.12027956390203284,,0.17733583389279212,100,1.0,0.17959159796032423,-0.0022557640675321122
Lake Chotkowskie,XGBoost,5,0.2994706884277035,0.1303578513244299,,0.17129503059232082,100,1.0,0.16911283710327363,0.0021821934890471906
Lake Chotkowskie,XGBoost,10,0.29454415908083265,0.1106295436163999,,0.1764708142768477,100,1.0,0.18391461546443275,-0.0074438011875850585
Lake Erie,MLP,1,0.38043984573542494,0.24971225844498662,,0.13690734852963102,100,0.91,0.13072758729043832,0.006179761239192699
Lake Erie,MLP,3,0.3564498137212627,0.22236651840083965,,0.12961489751050614,100,0.98,0.13408329532042307,-0.004468397809916924
Lake Erie,MLP,5,0.33050914261855235,0.2381115951433333,,0.1021169931524156,100,0.89,0.09239754747521906,0.009719445677196542
Lake Erie,MLP,10,0.3263713515414671,0.22160015690097826,,0.10924809515141465,100,0.98,0.10477119464048887,0.00447690051092578
Lake Erie,PLSR,1,0.3804398457354249,0.3892940997462597,,0.008858323196489548,100,0.55,-0.008854254010834839,0.017712577207324387
Lake Erie,PLSR,3,0.3564498137212627,0.34073051243194336,,0.018518970557578035,100,0.58,0.015719301289319365,0.00279966926825867
Lake Erie,PLSR,5,0.3305091426185524,0.3141672780551594,,0.04132482214415162,100,0.65,0.016341864563392983,0.024982957580758636
Lake Erie,PLSR,10,0.32637135154146724,0.30355314508413456,,0.025575396680297513,100,0.62,0.02281820645733268,0.0027571902229648337
Lake Erie,XGBoost,1,0.3804398457354249,0.240113254512627,,0.14182269449566165,100,0.87,0.1403265912227979,0.001496103272863758
Lake Erie,XGBoost,3,0.3564498137212627,0.21828064015651985,,0.12780292037624688,100,0.99,0.13816917356474287,-0.010366253188495989
Lake Erie,XGBoost,5,0.33050914261855235,0.2350688359436055,,0.1066932264236615,100,0.85,0.09544030667494685,0.011252919748714646
Lake Erie,XGBoost,10,0.32637135154146724,0.22785508763815615,,0.10580525069929846,100,0.94,0.09851626390331109,0.0072889867959873705
Lake Geneva,MLP,1,0.33184731121333866,0.2240028708431783,,0.07261216722776184,100,0.81,0.10784444037016036,-0.03523227314239852
Lake Geneva,MLP,3,0.2980732445867578,0.20796123229152064,,0.08343550685327696,100,1.0,0.09011201229523719,-0.0066765054419602315
Lake Geneva,MLP,5,0.2738550210245379,0.20557412149790083,,0.07952457875142313,100,0.86,0.06828089952663707,0.011243679224786057
Lake Geneva,MLP,10,0.2604521227354163,0.1953088675204539,,0.06262791278270133,100,0.81,0.06514325521496239,-0.002515342432261064
Lake Geneva,PLSR,1,0.3318473112133386,0.2325156880777857,,0.09383758608083748,100,0.93,0.09933162313555291,-0.005494037054715434
Lake Geneva,PLSR,3,0.29807324458675777,0.20805678292819002,,0.09324749271004307,100,0.98,0.09001646165856775,0.0032310310514753193
Lake Geneva,PLSR,5,0.27385502102453796,0.22189863152238531,,0.05540712514876621,100,0.87,0.051956389502152645,0.0034507356466135647
Lake Geneva,PLSR,10,0.26045212273541624,0.18674626148691034,,0.07087240316569317,100,0.9,0.0737058612485059,-0.002833458082812726
Lake Geneva,XGBoost,1,0.33184731121333866,0.3338745113228692,,-0.011912425291362022,100,0.42,-0.002027200109530558,-0.009885225181831464
Lake Geneva,XGBoost,3,0.2980732445867578,0.2785503880301513,,0.03575081503626412,100,0.68,0.019522856556606516,0.016227958479657606
Lake Geneva,XGBoost,5,0.27385502102453796,0.22614307241899614,,0.05043722133412215,100,0.83,0.047711948605541815,0.0027252727285803358
Lake Geneva,XGBoost,10,0.2604521227354163,0.2079528376716499,,0.05145481755719142,100,0.79,0.05249928506376639,-0.0010444675065749698
Lake Hume,MLP,1,0.25522074873986555,0.1494456987552774,,0.09969310657174055,100,1.0,0.10577504998458814,-0.006081943412847596
Lake Hume,MLP,3,0.2570570553315541,0.1339418516070216,,0.1228736429727458,100,1.0,0.1231152037245325,-0.00024156075178669023
Lake Hume,MLP,5,0.25075211599106395,0.1614776659812172,,0.0924010555854812,100,0.91,0.08927445000984674,0.0031266055756344613
Lake Hume,MLP,10,0.2348869310321224,0.123215911466,,0.10948873343456322,100,1.0,0.11167101956612241,-0.0021822861315591857
Lake Hume,PLSR,1,0.25522074873986555,0.21086845755674,,0.041817613950606264,100,0.97,0.04435229118312556,-0.0025346772325192946
