outer_lake,inner_validation_lake,inner_training_group_count,inner_training_site_count,outer_groups_in_inner_training,inner_validation_groups_in_inner_training,inner_validation_group_count,exclusion_status
High Rock Lake,Chaohu,4185,396,0,0,21,VERIFIED
High Rock Lake,Dianchi,4142,396,0,0,64,VERIFIED
High Rock Lake,Eagle Creek Reservoir,4128,396,0,0,78,VERIFIED
High Rock Lake,Erhai,4169,396,0,0,37,VERIFIED
High Rock Lake,Garda,4169,396,0,0,37,VERIFIED
High Rock Lake,Geist Reservoir,4150,396,0,0,56,VERIFIED
High Rock Lake,Ibitinga Reservoir,4178,396,0,0,28,VERIFIED
High Rock Lake,Lake Chotkowskie,4184,396,0,0,22,VERIFIED
High Rock Lake,Lake Erie,3680,396,0,0,526,VERIFIED
High Rock Lake,Lake Geneva,4186,396,0,0,20,VERIFIED
High Rock Lake,Lake Hume,4167,396,0,0,39,VERIFIED
High Rock Lake,Lake Jasień Południowy,4184,396,0,0,22,VERIFIED
High Rock Lake,Lake Jeleń,4184,396,0,0,22,VERIFIED
High Rock Lake,Lake Kasumigaura,4018,396,0,0,188,VERIFIED
High Rock Lake,Lake Kummerow,4180,396,0,0,26,VERIFIED
High Rock Lake,Lake Obłęże,4186,396,0,0,20,VERIFIED
High Rock Lake,Lake Peipsi,4132,396,0,0,74,VERIFIED
High Rock Lake,Lake Winnipeg,4161,396,0,0,45,VERIFIED
High Rock Lake,Lake Łebsko,4174,396,0,0,32,VERIFIED
High Rock Lake,Mantova,4175,396,0,0,31,VERIFIED
High Rock Lake,Morse Reservoir,4153,396,0,0,53,VERIFIED
High Rock Lake,Taihu,4018,396,0,0,188,VERIFIED
Ibitinga Reservoir,Branched Oak Lake,4224,396,0,0,40,VERIFIED
Ibitinga Reservoir,Chaohu,4243,396,0,0,21,VERIFIED
Ibitinga Reservoir,Dianchi,4200,396,0,0,64,VERIFIED
Ibitinga Reservoir,Eagle Creek Reservoir,4186,396,0,0,78,VERIFIED
Ibitinga Reservoir,Erhai,4227,396,0,0,37,VERIFIED
Ibitinga Reservoir,Garda,4227,396,0,0,37,VERIFIED
Ibitinga Reservoir,Geist Reservoir,4208,396,0,0,56,VERIFIED
Ibitinga Reservoir,High Rock Lake,4178,396,0,0,86,VERIFIED
Ibitinga Reservoir,Lake Chotkowskie,4242,396,0,0,22,VERIFIED
Ibitinga Reservoir,Lake Erie,3738,396,0,0,526,VERIFIED
Ibitinga Reservoir,Lake Geneva,4244,396,0,0,20,VERIFIED
Ibitinga Reservoir,Lake Hume,4225,396,0,0,39,VERIFIED
Ibitinga Reservoir,Lake Jasień Południowy,4242,396,0,0,22,VERIFIED
Ibitinga Reservoir,Lake Jeleń,4242,396,0,0,22,VERIFIED
Ibitinga Reservoir,Lake Kasumigaura,4076,396,0,0,188,VERIFIED
Ibitinga Reservoir,Lake Kummerow,4238,396,0,0,26,VERIFIED
Ibitinga Reservoir,Lake Obłęże,4244,396,0,0,20,VERIFIED
Ibitinga Reservoir,Lake Peipsi,4190,396,0,0,74,VERIFIED
Ibitinga Reservoir,Lake Winnipeg,4219,396,0,0,45,VERIFIED
Ibitinga Reservoir,Lake Łebsko,4232,396,0,0,32,VERIFIED
Ibitinga Reservoir,Mantova,4233,396,0,0,31,VERIFIED
Ibitinga Reservoir,Morse Reservoir,4211,396,0,0,53,VERIFIED
Ibitinga Reservoir,Taihu,4076,396,0,0,188,VERIFIED
Lake Chotkowskie,Branched Oak Lake,4230,396,0,0,40,VERIFIED
Lake Chotkowskie,Chaohu,4249,396,0,0,21,VERIFIED
Lake Chotkowskie,Dianchi,4206,396,0,0,64,VERIFIED
Lake Chotkowskie,Eagle Creek Reservoir,4192,396,0,0,78,VERIFIED
Lake Chotkowskie,Erhai,4233,396,0,0,37,VERIFIED
Lake Chotkowskie,Garda,4233,396,0,0,37,VERIFIED
Lake Chotkowskie,Geist Reservoir,4214,396,0,0,56,VERIFIED
Lake Chotkowskie,High Rock Lake,4184,396,0,0,86,VERIFIED
Lake Chotkowskie,Ibitinga Reservoir,4242,396,0,0,28,VERIFIED
Lake Chotkowskie,Lake Erie,3744,396,0,0,526,VERIFIED
Lake Chotkowskie,Lake Geneva,4250,396,0,0,20,VERIFIED
Lake Chotkowskie,Lake Hume,4231,396,0,0,39,VERIFIED
Lake Chotkowskie,Lake Jasień Południowy,4248,396,0,0,22,VERIFIED
Lake Chotkowskie,Lake Jeleń,4248,396,0,0,22,VERIFIED
Lake Chotkowskie,Lake Kasumigaura,4082,396,0,0,188,VERIFIED
Lake Chotkowskie,Lake Kummerow,4244,396,0,0,26,VERIFIED
Lake Chotkowskie,Lake Obłęże,4250,396,0,0,20,VERIFIED
Lake Chotkowskie,Lake Peipsi,4196,396,0,0,74,VERIFIED
Lake Chotkowskie,Lake Winnipeg,4225,396,0,0,45,VERIFIED
Lake Chotkowskie,Lake Łebsko,4238,396,0,0,32,VERIFIED
Lake Chotkowskie,Mantova,4239,396,0,0,31,VERIFIED
Lake Chotkowskie,Morse Reservoir,4217,396,0,0,53,VERIFIED
Lake Chotkowskie,Taihu,4082,396,0,0,188,VERIFIED
Lake Erie,Branched Oak Lake,3726,396,0,0,40,VERIFIED
Lake Erie,Chaohu,3745,396,0,0,21,VERIFIED
Lake Erie,Dianchi,3702,396,0,0,64,VERIFIED
Lake Erie,Eagle Creek Reservoir,3688,396,0,0,78,VERIFIED
Lake Erie,Erhai,3729,396,0,0,37,VERIFIED
Lake Erie,Garda,3729,396,0,0,37,VERIFIED
Lake Erie,Geist Reservoir,3710,396,0,0,56,VERIFIED
Lake Erie,High Rock Lake,3680,396,0,0,86,VERIFIED
Lake Erie,Ibitinga Reservoir,3738,396,0,0,28,VERIFIED
Lake Erie,Lake Chotkowskie,3744,396,0,0,22,VERIFIED
Lake Erie,Lake Geneva,3746,396,0,0,20,VERIFIED
Lake Erie,Lake Hume,3727,396,0,0,39,VERIFIED
Lake Erie,Lake Jasień Południowy,3744,396,0,0,22,VERIFIED
Lake Erie,Lake Jeleń,3744,396,0,0,22,VERIFIED
Lake Erie,Lake Kasumigaura,3578,396,0,0,188,VERIFIED
Lake Erie,Lake Kummerow,3740,396,0,0,26,VERIFIED
Lake Erie,Lake Obłęże,3746,396,0,0,20,VERIFIED
Lake Erie,Lake Peipsi,3692,396,0,0,74,VERIFIED
Lake Erie,Lake Winnipeg,3721,396,0,0,45,VERIFIED
Lake Erie,Lake Łebsko,3734,396,0,0,32,VERIFIED
Lake Erie,Mantova,3735,396,0,0,31,VERIFIED
Lake Erie,Morse Reservoir,3713,396,0,0,53,VERIFIED
Lake Erie,Taihu,3578,396,0,0,188,VERIFIED
Lake Geneva,Branched Oak Lake,4232,396,0,0,40,VERIFIED
Lake Geneva,Chaohu,4251,396,0,0,21,VERIFIED
Lake Geneva,Dianchi,4208,396,0,0,64,VERIFIED
Lake Geneva,Eagle Creek Reservoir,4194,396,0,0,78,VERIFIED
Lake Geneva,Erhai,4235,396,0,0,37,VERIFIED
Lake Geneva,Garda,4235,396,0,0,37,VERIFIED
Lake Geneva,Geist Reservoir,4216,396,0,0,56,VERIFIED
Lake Geneva,High Rock Lake,4186,396,0,0,86,VERIFIED
Lake Geneva,Ibitinga Reservoir,4244,396,0,0,28,VERIFIED
Lake Geneva,Lake Chotkowskie,4250,396,0,0,22,VERIFIED
Lake Geneva,Lake Erie,3746,396,0,0,526,VERIFIED
Lake Geneva,Lake Hume,4233,396,0,0,39,VERIFIED
Lake Geneva,Lake Jasień Południowy,4250,396,0,0,22,VERIFIED
Lake Geneva,Lake Jeleń,4250,396,0,0,22,VERIFIED
Lake Geneva,Lake Kasumigaura,4084,396,0,0,188,VERIFIED
Lake Geneva,Lake Kummerow,4246,396,0,0,26,VERIFIED
Lake Geneva,Lake Obłęże,4252,396,0,0,20,VERIFIED
Lake Geneva,Lake Peipsi,4198,396,0,0,74,VERIFIED
Lake Geneva,Lake Winnipeg,4227,396,0,0,45,VERIFIED
Lake Geneva,Lake Łebsko,4240,396,0,0,32,VERIFIED
Lake Geneva,Mantova,4241,396,0,0,31,VERIFIED
Lake Geneva,Morse Reservoir,4219,396,0,0,53,VERIFIED
Lake Geneva,Taihu,4084,396,0,0,188,VERIFIED
Lake Hume,Branched Oak Lake,4213,396,0,0,40,VERIFIED
Lake Hume,Chaohu,4232,396,0,0,21,VERIFIED
Lake Hume,Dianchi,4189,396,0,0,64,VERIFIED
Lake Hume,Eagle Creek Reservoir,4175,396,0,0,78,VERIFIED
Lake Hume,Erhai,4216,396,0,0,37,VERIFIED
Lake Hume,Garda,4216,396,0,0,37,VERIFIED
Lake Hume,Geist Reservoir,4197,396,0,0,56,VERIFIED
Lake Hume,High Rock Lake,4167,396,0,0,86,VERIFIED
Lake Hume,Ibitinga Reservoir,4225,396,0,0,28,VERIFIED
Lake Hume,Lake Chotkowskie,4231,396,0,0,22,VERIFIED
Lake Hume,Lake Erie,3727,396,0,0,526,VERIFIED
Lake Hume,Lake Geneva,4233,396,0,0,20,VERIFIED
Lake Hume,Lake Jasień Południowy,4231,396,0,0,22,VERIFIED
Lake Hume,Lake Jeleń,4231,396,0,0,22,VERIFIED
Lake Hume,Lake Kasumigaura,4065,396,0,0,188,VERIFIED
Lake Hume,Lake Kummerow,4227,396,0,0,26,VERIFIED
Lake Hume,Lake Obłęże,4233,396,0,0,20,VERIFIED
Lake Hume,Lake Peipsi,4179,396,0,0,74,VERIFIED
Lake Hume,Lake Winnipeg,4208,396,0,0,45,VERIFIED
Lake Hume,Lake Łebsko,4221,396,0,0,32,VERIFIED
Lake Hume,Mantova,4222,396,0,0,31,VERIFIED
Lake Hume,Morse Reservoir,4200,396,0,0,53,VERIFIED
Lake Hume,Taihu,4065,396,0,0,188,VERIFIED
Lake Jasień Południowy,Branched Oak Lake,4230,396,0,0,40,VERIFIED
Lake Jasień Południowy,Chaohu,4249,396,0,0,21,VERIFIED
Lake Jasień Południowy,Dianchi,4206,396,0,0,64,VERIFIED
Lake Jasień Południowy,Eagle Creek Reservoir,4192,396,0,0,78,VERIFIED
Lake Jasień Południowy,Erhai,4233,396,0,0,37,VERIFIED
Lake Jasień Południowy,Garda,4233,396,0,0,37,VERIFIED
Lake Jasień Południowy,Geist Reservoir,4214,396,0,0,56,VERIFIED
Lake Jasień Południowy,High Rock Lake,4184,396,0,0,86,VERIFIED
Lake Jasień Południowy,Ibitinga Reservoir,4242,396,0,0,28,VERIFIED
Lake Jasień Południowy,Lake Chotkowskie,4248,396,0,0,22,VERIFIED
Lake Jasień Południowy,Lake Erie,3744,396,0,0,526,VERIFIED
Lake Jasień Południowy,Lake Geneva,4250,396,0,0,20,VERIFIED
Lake Jasień Południowy,Lake Hume,4231,396,0,0,39,VERIFIED
Lake Jasień Południowy,Lake Jeleń,4248,396,0,0,22,VERIFIED
Lake Jasień Południowy,Lake Kasumigaura,4082,396,0,0,188,VERIFIED
Lake Jasień Południowy,Lake Kummerow,4244,396,0,0,26,VERIFIED
Lake Jasień Południowy,Lake Obłęże,4250,396,0,0,20,VERIFIED
Lake Jasień Południowy,Lake Peipsi,4196,396,0,0,74,VERIFIED
Lake Jasień Południowy,Lake Winnipeg,4225,396,0,0,45,VERIFIED
Lake Jasień Południowy,Lake Łebsko,4238,396,0,0,32,VERIFIED
Lake Jasień Południowy,Mantova,4239,396,0,0,31,VERIFIED
Lake Jasień Południowy,Morse Reservoir,4217,396,0,0,53,VERIFIED
Lake Jasień Południowy,Taihu,4082,396,0,0,188,VERIFIED
Lake Jeleń,Branched Oak Lake,4230,396,0,0,40,VERIFIED
Lake Jeleń,Chaohu,4249,396,0,0,21,VERIFIED
Lake Jeleń,Dianchi,4206,396,0,0,64,VERIFIED
Lake Jeleń,Eagle Creek Reservoir,4192,396,0,0,78,VERIFIED
Lake Jeleń,Erhai,4233,396,0,0,37,VERIFIED
Lake Jeleń,Garda,4233,396,0,0,37,VERIFIED
Lake Jeleń,Geist Reservoir,4214,396,0,0,56,VERIFIED
Lake Jeleń,High Rock Lake,4184,396,0,0,86,VERIFIED
Lake Jeleń,Ibitinga Reservoir,4242,396,0,0,28,VERIFIED
Lake Jeleń,Lake Chotkowskie,4248,396,0,0,22,VERIFIED
Lake Jeleń,Lake Erie,3744,396,0,0,526,VERIFIED
Lake Jeleń,Lake Geneva,4250,396,0,0,20,VERIFIED
Lake Jeleń,Lake Hume,4231,396,0,0,39,VERIFIED
Lake Jeleń,Lake Jasień Południowy,4248,396,0,0,22,VERIFIED
Lake Jeleń,Lake Kasumigaura,4082,396,0,0,188,VERIFIED
Lake Jeleń,Lake Kummerow,4244,396,0,0,26,VERIFIED
Lake Jeleń,Lake Obłęże,4250,396,0,0,20,VERIFIED
Lake Jeleń,Lake Peipsi,4196,396,0,0,74,VERIFIED
Lake Jeleń,Lake Winnipeg,4225,396,0,0,45,VERIFIED
Lake Jeleń,Lake Łebsko,4238,396,0,0,32,VERIFIED
Lake Jeleń,Mantova,4239,396,0,0,31,VERIFIED
Lake Jeleń,Morse Reservoir,4217,396,0,0,53,VERIFIED
Lake Jeleń,Taihu,4082,396,0,0,188,VERIFIED
Lake Kasumigaura,Branched Oak Lake,4064,396,0,0,40,VERIFIED
Lake Kasumigaura,Chaohu,4083,396,0,0,21,VERIFIED
Lake Kasumigaura,Dianchi,4040,396,0,0,64,VERIFIED
Lake Kasumigaura,Eagle Creek Reservoir,4026,396,0,0,78,VERIFIED
Lake Kasumigaura,Erhai,4067,396,0,0,37,VERIFIED
Lake Kasumigaura,Garda,4067,396,0,0,37,VERIFIED
Lake Kasumigaura,Geist Reservoir,4048,396,0,0,56,VERIFIED
Lake Kasumigaura,High Rock Lake,4018,396,0,0,86,VERIFIED
Lake Kasumigaura,Ibitinga Reservoir,4076,396,0,0,28,VERIFIED
Lake Kasumigaura,Lake Chotkowskie,4082,396,0,0,22,VERIFIED
Lake Kasumigaura,Lake Erie,3578,396,0,0,526,VERIFIED
Lake Kasumigaura,Lake Geneva,4084,396,0,0,20,VERIFIED
Lake Kasumigaura,Lake Hume,4065,396,0,0,39,VERIFIED
Lake Kasumigaura,Lake Jasień Południowy,4082,396,0,0,22,VERIFIED
Lake Kasumigaura,Lake Jeleń,4082,396,0,0,22,VERIFIED
Lake Kasumigaura,Lake Kummerow,4078,396,0,0,26,VERIFIED
Lake Kasumigaura,Lake Obłęże,4084,396,0,0,20,VERIFIED
Lake Kasumigaura,Lake Peipsi,4030,396,0,0,74,VERIFIED
Lake Kasumigaura,Lake Winnipeg,4059,396,0,0,45,VERIFIED
Lake Kasumigaura,Lake Łebsko,4072,396,0,0,32,VERIFIED
Lake Kasumigaura,Mantova,4073,396,0,0,31,VERIFIED
Lake Kasumigaura,Morse Reservoir,4051,396,0,0,53,VERIFIED
Lake Kasumigaura,Taihu,3916,396,0,0,188,VERIFIED
Lake Kummerow,Branched Oak Lake,4226,396,0,0,40,VERIFIED
Lake Kummerow,Chaohu,4245,396,0,0,21,VERIFIED
Lake Kummerow,Dianchi,4202,396,0,0,64,VERIFIED
Lake Kummerow,Eagle Creek Reservoir,4188,396,0,0,78,VERIFIED
Lake Kummerow,Erhai,4229,396,0,0,37,VERIFIED
