outer_lake,Water_body_type,water_body_type_label,dataset_ids,organization_ids,tss_methods,group_count,site_count,raw_record_count,auxiliary_group_count
Dianchi,4,river,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,4,4,4,4
Dianchi,5,other,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,16,1,16,16
Dianchi,5,other,SpyrakosE_GB_STIR,STIR,APHA 2540 D,5,1,5,5
Eagle Creek Reservoir,1,lake,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,145,36,145,71
Eagle Creek Reservoir,1,lake,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,99,12,99,60
Eagle Creek Reservoir,1,lake,BarbosaCCF_BR_LabISA-INPE,LabISA-INPE,LabISA-INPE TSS,48,3,48,20
Eagle Creek Reservoir,1,lake,BindingC_CA_ECCC,ECCC,ECCC TSS,94,2,94,0
Eagle Creek Reservoir,1,lake,DekkerAG_NL_VU,VU,VU TSS,16,12,16,16
Eagle Creek Reservoir,1,lake,DiVittorioC_US_WFU,WFU,APHA 2540 D,86,1,86,0
Eagle Creek Reservoir,1,lake,FicekD_PL_APSL,APSL,APSL TSS,193,13,200,75
Eagle Creek Reservoir,1,lake,GegeP_DE_DLR-IMF,DLR-IMF,ISO 11923:1997,20,1,20,20
Eagle Creek Reservoir,1,lake,GiardinoC_IT_CNR-IREA,CNR-IREA,ISO 11923:1997,128,7,147,60
Eagle Creek Reservoir,1,lake,GitelsonAA_US_UNL,UNL,APHA 2540 D,204,14,204,164
Eagle Creek Reservoir,1,lake,GrebSR_US_WDNR,WDNR,APHA 2540 D,215,34,215,215
Eagle Creek Reservoir,1,lake,KravitzJ_ZA_UCT,UCT,APHA 2540 D,28,4,28,28
Eagle Creek Reservoir,1,lake,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,169,85,170,169
Eagle Creek Reservoir,1,lake,LiL_US_IUPUI,IUPUI,IUPUI TSS,109,2,109,0
Eagle Creek Reservoir,1,lake,MaR_CN_NIGLAS,NIGLAS,APHA 2540 D,221,3,236,0
Eagle Creek Reservoir,1,lake,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,235,8,235,26
Eagle Creek Reservoir,1,lake,MatthewsM_ZA_UCT,UCT,APHA 2540 D,31,3,62,31
Eagle Creek Reservoir,1,lake,MooreT_US_UNH,UNH,APHA 2540 D,30,1,30,0
Eagle Creek Reservoir,1,lake,NguyenTTH_VN_VNU-HUS,VNU-HUS,APHA 2540 D,48,2,49,48
Eagle Creek Reservoir,1,lake,O'DonnellDM_US_UFI,UFI,APHA 2540 D,9,1,9,0
Eagle Creek Reservoir,1,lake,OlmansonLG_US_UMN,UMN,UMN TSS,7,7,7,7
Eagle Creek Reservoir,1,lake,OppeltN_DE_CAU_Kiel,CAU_Kiel,DIN 38409-2:1987-03,26,1,26,0
