outer_lake,source_site,normalized_source_site,countries,water_body_type_codes,group_count,dataset_ids,organization_ids,tss_methods,raw_record_count,centroid_lat,centroid_lon,eligible_target_site,auxiliary_source_site,exact_name_collision_with_outer,normalized_name_collision_with_outer
Ibitinga Reservoir,Moeraki,moeraki,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-43.732000,169.284000,False,True,False,False
Ibitinga Reservoir,"Monie Bay, MD",monie bay md,United States of America (the),2,3,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,3,38.222000,-75.827000,False,True,False,False
Ibitinga Reservoir,Monowai,monowai,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-45.853000,167.431000,False,True,False,False
Ibitinga Reservoir,"Moore's Lake, DE",moore s de,United States of America (the),1,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,39.128000,-75.522000,False,True,False,False
Ibitinga Reservoir,Morse Reservoir,morse,United States of America (the),1,53,LiL_US_IUPUI,IUPUI,IUPUI TSS,53,40.093000,-86.040000,True,False,False,False
Ibitinga Reservoir,Mulargia,mulargia,Italy,1,11,GiardinoC_IT_CNR-IREA,CNR-IREA,ISO 11923:1997,11,39.619000,9.245000,False,True,False,False
Ibitinga Reservoir,"Murderkill River, DE",murderkill river de,United States of America (the),4,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,39.024500,-75.422500,False,True,False,False
Ibitinga Reservoir,"N Rigolets Bayou, MS",n rigolets bayou ms,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,30.366000,-88.411000,False,True,False,False
Ibitinga Reservoir,NIOZ jetty,nioz jetty,Netherlands (the),2,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,53.002000,4.789000,False,True,False,False
Ibitinga Reservoir,Naardermeer-Spookgat,naardermeer spookgat,Netherlands (the),1,1,DekkerAG_NL_VU,VU,VU TSS,1,52.303000,5.107000,False,True,False,False
Ibitinga Reservoir,"Neuse River, NC",neuse river nc,United States of America (the),4,7,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,7,35.135000,-77.049000,False,True,False,False
Ibitinga Reservoir,Nightevecht,nightevecht,Netherlands (the),4,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,52.274000,5.023000,False,True,False,False
Ibitinga Reservoir,North Sea,north sea,Netherlands (the),3,12,WernandMR_NL_NIOZ_CST,NIOZ,NIOZ TSS,22,53.407500,4.495000,False,True,False,False
Ibitinga Reservoir,"Nueces Bay, TX",nueces bay tx,United States of America (the),2,6,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,7,27.848000,-97.416000,False,True,False,False
Ibitinga Reservoir,Ogallala Lake,ogallala,United States of America (the),1,7,GitelsonAA_US_UNL,UNL,APHA 2540 D,7,41.214000,-101.663000,False,True,False,False
Ibitinga Reservoir,"Ogeechee River, GA",ogeechee river ga,United States of America (the),4,17,SchallesJ_US_Creighton,NOAA ECSC|NSF GCE LTER,Creighton TSS,18,31.945000,-81.287000,False,True,False,False
Ibitinga Reservoir,Ohinewai,ohinewai,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-37.494000,175.171000,False,True,False,False
Ibitinga Reservoir,"Osabaw Sound, GA",osabaw sound ga,United States of America (the),2,1,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,1,31.831000,-81.036000,False,True,False,False
Ibitinga Reservoir,"Otter Point Creek, MD",otter point creek md,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,39.446000,-76.244000,False,True,False,False
Ibitinga Reservoir,"Pamlico Sound, NC",pamlico sound nc,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,35.051000,-76.303000,False,True,False,False
Ibitinga Reservoir,Paringa,paringa,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-43.715500,169.400000,False,True,False,False
Ibitinga Reservoir,Parnu Bay,parnu bay,Estonia,2,14,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,14,58.283500,24.418500,False,True,False,False
Ibitinga Reservoir,"Patuxent River, MD",patuxent river md,United States of America (the),4,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,38.462500,-76.636500,False,True,False,False
Ibitinga Reservoir,Pelican Lake,pelican,United States of America (the),1,9,GrebSR_US_WDNR,WDNR,APHA 2540 D,9,45.511000,-89.195000,False,True,False,False
Ibitinga Reservoir,Petenwell Lake,petenwell,United States of America (the),1,6,GrebSR_US_WDNR,WDNR,APHA 2540 D,6,44.143000,-89.975500,False,True,False,False
Ibitinga Reservoir,Pine Lake,pine,United States of America (the),1,6,GrebSR_US_WDNR,WDNR,APHA 2540 D,6,45.678500,-88.980500,False,True,False,False
Ibitinga Reservoir,Plum Island Estuary,plum island estuary,United States of America (the),2,23,FichotCG_US_BU_PIE,<missing>,BU_PIE TSS,23,42.738000,-70.821000,False,True,False,False
