Site_name,Country,latitude_min,latitude_median,latitude_max,longitude_min,longitude_median,longitude_max,water_body_codes,water_body_labels,raw_record_count,canonical_group_count,date_first,date_last,distinct_date_count,campaign_count,campaign_definition,tss_min,tss_median,tss_max,tss_unit,tss_missing_count,Dataset_ID_membership,Organization_ID_membership,TSS_method_membership,missing_tss_method_group_count,multi_dataset,multi_provider,multi_method
Lake Erie,Canada;United States of America (the),41.1941166666667,41.74225,42.84472222,-83.5747,-83.2545,-79.57361111,1,lake,550,526,2007-09-12,2020-10-05,95,4,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.449999999999993,9.49,145.8,g m-3,0,BindingC_CA_ECCC;MooreT_US_UNH;O'DonnellDM_US_UFI;VanderWoudeA_US_NOAA-GLERL,ECCC;NOAA-GLERL;UFI;UNH,APHA 2540 D;ECCC TSS,0,True,True,True
Lake Geneva,Switzerland,46.31011667,46.43809167,46.5109,6.2201,6.5662666665,6.867666667,1,lake,20,20,2014-06-03,2015-07-04,6,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.283,0.976,4.0,g m-3,0,SpyrakosE_GB_STIR,STIR,APHA 2540 D,0,False,False,False
Lake Hume,Australia,-36.2056,-36.11009,-36.00871,147.0326993,147.05188,147.09095,1,lake,39,39,2017-03-01,2021-01-06,18,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1.333,3.6,24.917,g m-3,0,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,0,False,False,False
Lake Jasień Południowy,Poland,54.28477,54.28477,54.30252,17.61468,17.61793,17.61793,1,lake,23,22,2007-03-03,2009-11-11,19,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,1.1,2.3175,6.8,g m-3,0,FicekD_PL_APSL,APSL,APSL TSS,0,False,False,False
Lake Jeleń,Poland,54.19786,54.19786,54.19786,17.5383,17.5383,17.5383,1,lake,22,22,2006-10-10,2010-07-07,22,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.8,1.3039999999999998,2.9,g m-3,0,FicekD_PL_APSL,APSL,APSL TSS,0,False,False,False
Lake Kasumigaura,Japan,35.96411111,36.058636109999995,36.1492,140.2143667,140.36488889999998,140.4893611,1,lake,188,188,2006-02-18,2019-03-12,29,2,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,4.966666667,18.6,57.1,g m-3,0,MatsushitaB_JP_Tsukuba;SalemSI_JP_KUAS,KUAS;Tsukuba,APHA 2540 D,0,True,True,False
Lake Kummerow,Germany,53.81916,53.833805,53.84584,12.87107,12.891165,12.90237,1,lake,26,26,2015-01-08,2016-09-10,8,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.4,1.85,6.1,g m-3,0,OppeltN_DE_CAU_Kiel,CAU_Kiel,DIN 38409-2:1987-03,0,False,False,False
Lake Obłęże,Poland,54.24037,54.24037,54.24037,16.91996,16.91996,16.91996,1,lake,21,20,2007-03-03,2010-08-08,20,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.891,3.5265,9.31,g m-3,0,FicekD_PL_APSL,APSL,APSL TSS,0,False,False,False
Lake Peipsi,Estonia,58.12244,58.445325,58.92213,27.1057,27.415805,27.57492,1,lake,74,74,2013-07-08,2018-08-22,12,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.75,7.67,26.0,g m-3,0,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,0,False,False,False
Lake Winnipeg,Canada,50.51786667,52.10373333,53.83335,-99.23275,-97.12931667,-96.42628333,1,lake,45,45,2013-07-25,2014-08-06,15,1,distinct Dataset_ID count from eligible_tasks.csv column n_unique_campaigns_dataset_id,0.733333333,12.4,59.756,g m-3,0,BindingC_CA_ECCC,ECCC,ECCC TSS,0,False,False,False
