lake,learner,k,estimand,method,mae_log_median,rer_log_median,label_mae_log_median,delta_mae_median_manuscript,mae_method_median,mae_random_median,query_size_median,n_usable_repeats
Eagle Creek Reservoir,MLP,3,own_pool,proposed_weighted_d_optimal,0.1398186424381651,0.1783639467154092,0.170171018741038,,,,,
Eagle Creek Reservoir,MLP,3,own_pool,repeated_random,0.12115363653609695,0.24111755682848107,0.16210713998802706,,,,,
Eagle Creek Reservoir,MLP,3,own_pool,unweighted_d_optimal,0.153724624559832,0.15997105811289,0.1829992021634433,,,,,
Eagle Creek Reservoir,MLP,5,own_pool,farthest_point_kennard_stone,0.1576705850756243,0.1406078552919396,0.1834675676902589,,,,,
Eagle Creek Reservoir,MLP,5,own_pool,proposed_weighted_d_optimal,0.1127190921900634,0.231278849299564,0.1466319671315738,,,,,
Eagle Creek Reservoir,MLP,5,own_pool,repeated_random,0.12881855120288174,0.16803695526936974,0.1539741858891153,,,,,
Eagle Creek Reservoir,MLP,5,own_pool,unweighted_d_optimal,0.1250169558278331,0.3113210478651736,0.1815315518987553,,,,,
Eagle Creek Reservoir,MLP,10,own_pool,farthest_point_kennard_stone,0.1327953078513809,0.0719852894354104,0.1430961245112625,,,,,
Eagle Creek Reservoir,MLP,10,own_pool,proposed_weighted_d_optimal,0.1146572943423583,0.2596381913802014,0.1548665741585014,,,,,
Eagle Creek Reservoir,MLP,10,own_pool,repeated_random,0.12108526806260035,0.22156354035448395,0.1546042997085821,,,,,
Eagle Creek Reservoir,MLP,10,own_pool,unweighted_d_optimal,0.1118924906129332,0.2733108114639231,0.1539757231994189,,,,,
Eagle Creek Reservoir,PLSR,1,own_pool,farthest_point_kennard_stone,0.5288548919677792,-1.850590755768459,0.1855246574387012,,,,,
Eagle Creek Reservoir,PLSR,1,own_pool,proposed_weighted_d_optimal,0.1575209513359493,0.0582498128497941,0.1672640516219227,,,,,
Eagle Creek Reservoir,PLSR,1,own_pool,repeated_random,0.1881553659566873,0.0801766365419243,0.18596817364874504,,,,,
Eagle Creek Reservoir,PLSR,1,own_pool,unweighted_d_optimal,0.5288548919677792,-1.850590755768459,0.1855246574387012,,,,,
Eagle Creek Reservoir,PLSR,3,own_pool,farthest_point_kennard_stone,0.1605540924300131,-0.068116278359325,0.1503151810357844,,,,,
Eagle Creek Reservoir,PLSR,3,own_pool,proposed_weighted_d_optimal,0.2058411463962962,-0.2096133984683149,0.170171018741038,,,,,
Eagle Creek Reservoir,PLSR,3,own_pool,repeated_random,0.16915190285742976,-0.049609683246087846,0.1636465542237108,,,,,
Eagle Creek Reservoir,PLSR,3,own_pool,unweighted_d_optimal,0.1481659153800543,0.1903466488821719,0.1829992021634433,,,,,
Eagle Creek Reservoir,PLSR,5,own_pool,farthest_point_kennard_stone,0.1856513110401037,-0.0119026117711735,0.1834675676902589,,,,,
Eagle Creek Reservoir,PLSR,5,own_pool,proposed_weighted_d_optimal,0.1168034022805193,0.2034246924481497,0.1466319671315738,,,,,
Eagle Creek Reservoir,PLSR,5,own_pool,repeated_random,0.14836126640437491,0.1031416787913883,0.15556853113393648,,,,,
Eagle Creek Reservoir,PLSR,5,own_pool,unweighted_d_optimal,0.1662594936821217,0.0841289418594389,0.1815315518987553,,,,,
Eagle Creek Reservoir,PLSR,10,own_pool,farthest_point_kennard_stone,0.1525652354805398,-0.0661730730995528,0.1430961245112625,,,,,
Eagle Creek Reservoir,PLSR,10,own_pool,proposed_weighted_d_optimal,0.1182595683961615,0.2363776922003632,0.1548665741585014,,,,,
Eagle Creek Reservoir,PLSR,10,own_pool,repeated_random,0.12250978834040585,0.19710735750321,0.15430391817812678,,,,,
Eagle Creek Reservoir,PLSR,10,own_pool,unweighted_d_optimal,0.1248957592923021,0.1888606944930367,0.1539757231994189,,,,,
Eagle Creek Reservoir,XGBoost,1,own_pool,farthest_point_kennard_stone,0.1754780859122666,0.0541522141779556,0.1855246574387012,,,,,
Eagle Creek Reservoir,XGBoost,1,own_pool,proposed_weighted_d_optimal,0.1452373017030624,0.1316884793139167,0.1672640516219227,,,,,
Eagle Creek Reservoir,XGBoost,1,own_pool,repeated_random,0.170102998384369,0.051224209347338345,0.17638090405517287,,,,,
Eagle Creek Reservoir,XGBoost,1,own_pool,unweighted_d_optimal,0.1754780859122666,0.0541522141779556,0.1855246574387012,,,,,
Eagle Creek Reservoir,XGBoost,3,own_pool,farthest_point_kennard_stone,0.1428453745008154,0.0496942889371095,0.1503151810357844,,,,,
Eagle Creek Reservoir,XGBoost,3,own_pool,proposed_weighted_d_optimal,0.1748347814852082,-0.0274063263216646,0.170171018741038,,,,,
Eagle Creek Reservoir,XGBoost,3,own_pool,repeated_random,0.15632336826888105,0.056022999219379255,0.1686567701016792,,,,,
Eagle Creek Reservoir,XGBoost,3,own_pool,unweighted_d_optimal,0.1439431180697717,0.2134221433630502,0.1829992021634433,,,,,
Eagle Creek Reservoir,XGBoost,5,own_pool,farthest_point_kennard_stone,0.1939435782356289,-0.0571000646395205,0.1834675676902589,,,,,
Eagle Creek Reservoir,XGBoost,5,own_pool,proposed_weighted_d_optimal,0.153605996501449,-0.0475614494621274,0.1466319671315738,,,,,
Eagle Creek Reservoir,XGBoost,5,own_pool,repeated_random,0.16198162004614114,-0.0113891472073204,0.15655278440690876,,,,,
Eagle Creek Reservoir,XGBoost,5,own_pool,unweighted_d_optimal,0.1772643852934717,0.0235064721564146,0.1815315518987553,,,,,
Eagle Creek Reservoir,XGBoost,10,own_pool,farthest_point_kennard_stone,0.1394395405490104,0.0255533384933216,0.1430961245112625,,,,,
Eagle Creek Reservoir,XGBoost,10,own_pool,proposed_weighted_d_optimal,0.1359528815032666,0.1221289457503447,0.1548665741585014,,,,,
Eagle Creek Reservoir,XGBoost,10,own_pool,repeated_random,0.135128042571895,0.13007147119820733,0.1546475472286689,,,,,
Eagle Creek Reservoir,XGBoost,10,own_pool,unweighted_d_optimal,0.1326975806116448,0.1381915328191101,0.1539757231994189,,,,,
Erhai,MLP,1,own_pool,farthest_point_kennard_stone,0.2391443564114891,-0.2772314353497452,0.1872365078249813,,,,,
Erhai,MLP,1,own_pool,proposed_weighted_d_optimal,0.1786497331005619,-0.3848580586041882,0.1290021949484441,,,,,
Erhai,MLP,1,own_pool,repeated_random,0.18183189748256956,-0.0812924293279421,0.150459379580209,,,,,
Erhai,MLP,1,own_pool,unweighted_d_optimal,0.1837511968972857,-0.2059055877753153,0.1523761036527068,,,,,
