lake,learner,k,rep,mae_log,rer_log,label_only_mae_algebraic,delta_mae_label_minus_calibrated
Lake Chotkowskie,PLSR,3,88,0.2356640126289864,0.1691247205613697,0.2836334407246498,0.0479694280956634
Lake Chotkowskie,XGBoost,3,88,0.1288884723502424,0.5455808120623726,0.28363344072464974,0.15474496837440735
Lake Chotkowskie,MLP,3,88,0.144989654707846,0.4888132399848655,0.28363344072464974,0.13864378601680374
Lake Chotkowskie,PLSR,5,88,0.168738528976609,0.4150630197546074,0.28847301303543854,0.11973448405882955
Lake Chotkowskie,XGBoost,5,88,0.1335423174592782,0.5370716954601583,0.2884730130354384,0.15493069557616018
Lake Chotkowskie,MLP,5,88,0.1240969721329971,0.5698142556721776,0.2884730130354383,0.16437604090244123
Lake Chotkowskie,PLSR,10,88,0.2413759547899459,0.4455700961738932,0.43535883901628947,0.19398288422634358
Lake Chotkowskie,XGBoost,10,88,0.1399898768338625,0.678449428212668,0.43535883901628897,0.2953689621824265
Lake Chotkowskie,MLP,10,88,0.2016448213420967,0.5368307505458516,0.4353588390162894,0.23371401767419273
Lake Chotkowskie,PLSR,1,89,0.345537019697877,0.1156800440592613,0.3907375588817234,0.04520053918384642
Lake Chotkowskie,XGBoost,1,89,0.1640032817483697,0.5802725286494946,0.3907375588817235,0.2267342771333538
Lake Chotkowskie,MLP,1,89,0.2007594232975634,0.4862039146321927,0.39073755888172335,0.18997813558415994
Lake Chotkowskie,PLSR,3,89,0.2330277299639042,0.1964581835301321,0.29000075310607604,0.05697302314217184
Lake Chotkowskie,XGBoost,3,89,0.1302084650417584,0.5510064399584667,0.290000753106076,0.15979228806431758
Lake Chotkowskie,MLP,3,89,0.1650963297705317,0.4307037746995754,0.29000075310607604,0.12490442333554433
Lake Chotkowskie,PLSR,5,89,0.2303609365611845,0.2404091894093053,0.3032697812472699,0.07290884468608538
Lake Chotkowskie,XGBoost,5,89,0.1755284470574602,0.4212135131047597,0.30326978124726983,0.12774133418980962
Lake Chotkowskie,MLP,5,89,0.1773312630357363,0.41526891845568,0.3032697812472699,0.1259385182115336
Lake Chotkowskie,PLSR,10,89,0.1740779634275445,0.4283017909392893,0.304492763754795,0.1304148003272505
Lake Chotkowskie,XGBoost,10,89,0.1300318882582399,0.5729557169624221,0.3044927637547951,0.1744608754965552
Lake Chotkowskie,MLP,10,89,0.1436927923636816,0.5280912561839777,0.304492763754795,0.1607999713911134
Lake Chotkowskie,PLSR,1,90,0.2554473914197318,0.1044481739312689,0.2852402117089856,0.02979282028925384
Lake Chotkowskie,XGBoost,1,90,0.188666742179654,0.3385689050117902,0.2852402117089855,0.09657346952933149
Lake Chotkowskie,MLP,1,90,0.2093757325782012,0.2659669757520544,0.2852402117089856,0.07586447913078442
