lake,learner,k,variant,delta_spearman_lake,delta_r2_log_lake,mae_log_lake,rer_log_lake,delta_spearman_lake_altmean,delta_r2_log_lake_altmean
Dianchi,PLSR,10,full_minus_repr0,0.04015112418057115,4.555159213536166,0.18012195652330626,-0.7026458880089186,0.019456589091542475,4.332369931910272
Dianchi,PLSR,10,full_minus_repr1,-0.18491511054333465,5.818837042183796,0.16836512947124732,-0.5927098328675104,-0.172735322951516,5.238194128268191
Dianchi,PLSR,10,intercept_only,0.0,0.0,0.2786469382014958,-1.6661141130685788,0.0,3.996802888650562e-17
Dianchi,PLSR,10,repr_only,-0.2645124736502559,4.089582672248637,0.2043492224693857,-0.8743274661532899,-0.2706806613117413,3.8486687729177094
Dianchi,PLSR,10,source_only,0.0,0.0,0.27086730031903805,-1.521503158241854,0.0,0.0
Dianchi,XGBoost,5,affine_only,0.0,0.9788167512660542,0.20223058338682876,-0.8869092912069134,0.0,1.0137928958943128
Dianchi,XGBoost,5,full,-0.09759954057548034,1.1078492933364696,0.2043294284915556,-0.930019462222733,-0.17294455143199441,-5.063367349068967
Dianchi,XGBoost,5,full_minus_affine,-0.09932414902067105,0.7666554364582354,0.2176525765532279,-1.0499712245456085,-0.17589016698457446,-5.826866691310147
Dianchi,XGBoost,5,full_minus_repr0,0.0,0.9788167512660542,0.20223058338682876,-0.8869092912069134,0.0,1.0137928958943128
Dianchi,XGBoost,5,intercept_only,0.0,4.280517451604737e-08,0.2344807114097871,-1.1917076209244915,0.0,4.717369558093765e-08
Dianchi,XGBoost,5,repr_only,-0.09932414902067105,0.7666554364582354,0.2176525765532279,-1.0499712245456085,-0.17589016698457446,-5.826866691310147
Dianchi,XGBoost,5,source_only,0.0,0.0,0.3086206422448814,-1.8478208732051176,0.0,0.0
Dianchi,XGBoost,10,affine_only,0.0,1.7236064023569475,0.16806333887746705,-0.5850502144314855,0.0,1.7435260583457903
Dianchi,XGBoost,10,full,0.19378142372512094,1.332624964148094,0.16687301511968894,-0.6110127744512854,0.1266059813076839,0.30931233513656375
Dianchi,XGBoost,10,full_minus_affine,0.1355751303153089,0.5963425807164213,0.1947162395622469,-0.8533901451449308,0.08374492706346738,-0.7484797695175213
Dianchi,XGBoost,10,full_minus_repr0,0.36448734317668713,1.9525841424287789,0.15182850310467805,-0.45329044504189464,0.3277952419161147,1.8664854774938127
Dianchi,XGBoost,10,full_minus_repr1,-0.10251175695144249,1.6127376216016065,0.18052948871234448,-0.7442944285231055,-0.16450815399663274,0.8493462496634442
Dianchi,XGBoost,10,intercept_only,0.0,5.129275049142734e-08,0.22768009535734415,-1.1972325977359546,0.0,2.8378676413254317e-08
Dianchi,XGBoost,10,repr_only,0.1355751303153089,0.5963425807164213,0.1947162395622469,-0.8533901451449308,0.08374492706346738,-0.7484797695175213
Dianchi,XGBoost,10,source_only,0.0,0.0,0.3080033469721825,-1.9373076243689065,0.0,0.0
Eagle Creek Reservoir,MLP,5,affine_only,0.0,0.01103432825536615,0.117415081766342,0.2527383776421954,0.0,0.009443407657934465
Eagle Creek Reservoir,MLP,5,full,-0.03227659135708285,-0.1082977501303883,0.13259142464281445,0.17911292123925684,-0.06889143353694294,-0.3413128961755405
Eagle Creek Reservoir,MLP,5,full_minus_affine,-0.0304482074754202,-0.10934412116111736,0.1339212182075338,0.17308245393325117,-0.06898385831357032,-0.3424954064063266
Eagle Creek Reservoir,MLP,5,full_minus_repr0,0.0,0.01103432825536615,0.117415081766342,0.2527383776421954,0.0,0.009443407657934465
Eagle Creek Reservoir,MLP,5,intercept_only,0.0,0.0,0.1178080532099443,0.24955261123548683,0.0,4.440892098500626e-18
Eagle Creek Reservoir,MLP,5,repr_only,-0.0304482074754202,-0.10934412116111736,0.1339212182075338,0.17308245393325117,-0.06898385831357032,-0.3424954064063266
Eagle Creek Reservoir,MLP,5,source_only,0.0,0.0,0.11069980054945835,0.28708808784710244,0.0,0.0
Eagle Creek Reservoir,MLP,10,affine_only,0.0,0.02753368744479655,0.11203449637308899,0.2811149006389348,0.0,0.022239933868789735
Eagle Creek Reservoir,MLP,10,full,0.017991665804702798,-0.06870579562405929,0.12276879028540635,0.1944463436030875,-0.013369831138913631,-0.11777656837139285
Eagle Creek Reservoir,MLP,10,full_minus_affine,0.0061179109432605,-0.1314315523782588,0.1285104313393266,0.16447252127392953,-0.028724713272114136,-0.1792203953509821
Eagle Creek Reservoir,MLP,10,full_minus_repr0,0.0449933904272468,0.0099107100780698,0.1136980801142896,0.26791626441420874,0.001055149271517339,-0.029276995175219058
Eagle Creek Reservoir,MLP,10,full_minus_repr1,-0.023298288822449997,-0.02467458212159495,0.1198021491068385,0.22860941302054985,-0.032205654149860534,-0.07526988862026544
Eagle Creek Reservoir,MLP,10,intercept_only,0.0,0.0,0.11442928018338536,0.25900706679900926,0.0,6.661338147750938e-18
Eagle Creek Reservoir,MLP,10,repr_only,0.0061179109432605,-0.1314315523782588,0.1285104313393266,0.16447252127392953,-0.028724713272114136,-0.1792203953509821
Eagle Creek Reservoir,MLP,10,source_only,0.0,0.0,0.11085833026155634,0.2866373211268377,0.0,0.0
Eagle Creek Reservoir,PLSR,5,affine_only,0.0,0.07219745846611264,0.1617553688756882,-0.023982075784441947,0.0,0.06984353187208588
Eagle Creek Reservoir,PLSR,5,full,0.0620694642938947,0.34460119064106,0.14150278846471304,0.11619345826313726,0.026721185349029154,0.15327631186297044
Eagle Creek Reservoir,PLSR,5,full_minus_affine,0.061668541846156694,0.3377980340675431,0.1408800627922816,0.11302458010239341,0.02585750276704092,0.153922024332111
Eagle Creek Reservoir,PLSR,5,full_minus_repr0,0.0,0.07219745846611264,0.1617553688756882,-0.023982075784441947,0.0,0.06984353187208588
Eagle Creek Reservoir,PLSR,5,intercept_only,0.0,0.0,0.1635410387188013,-0.053816228004734054,0.0,-6.661338147750939e-18
Eagle Creek Reservoir,PLSR,5,repr_only,0.061668541846156694,0.3377980340675431,0.1408800627922816,0.11302458010239341,0.02585750276704092,0.153922024332111
Eagle Creek Reservoir,PLSR,5,source_only,0.0,0.0,0.1696515657795316,-0.08924525415304405,0.0,0.0
Eagle Creek Reservoir,PLSR,10,affine_only,0.0,0.1743825831589797,0.15253109376127166,0.0215352036779191,0.0,0.14810476797037475
Eagle Creek Reservoir,PLSR,10,full,0.16837595076739575,0.48957566620271387,0.12348302060996745,0.1902308662712947,0.0996394665630852,0.39428809631965933
Eagle Creek Reservoir,PLSR,10,full_minus_affine,0.161630549112319,0.4606750632697654,0.12631510541567345,0.1784799522447422,0.08852688262237893,0.358705059826053
Eagle Creek Reservoir,PLSR,10,full_minus_repr0,0.046587981690928953,0.1246474150134627,0.15579677843692363,0.00601345313032425,-0.046192166237432296,0.041718881905908514
