learner,k,variant,n_lakes,mean_delta_rho,mean_delta_rho_ci,median_delta_rho,median_delta_rho_ci,mean_delta_r2_log,mean_delta_r2_log_ci,mae_log_lake_median,rer_log_lake_median
XGBoost,5,repr_only,24,-0.0274,"(-0.0433, -0.0103)",-0.0265,"(-0.0411, -0.0107)",-0.0135,"(-0.0828, 0.0765)",0.181,0.2313
XGBoost,5,full,24,-0.0259,"(-0.0418, -0.009)",-0.021,"(-0.04, -0.0079)",0.0107,"(-0.0684, 0.1269)",0.1806,0.2362
XGBoost,5,full_minus_affine,24,-0.0274,"(-0.0433, -0.0103)",-0.0265,"(-0.0411, -0.0107)",-0.0135,"(-0.0828, 0.0765)",0.181,0.2313
XGBoost,5,full_minus_repr0,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0592,"(0.0096, 0.1467)",0.1614,0.3043
XGBoost,10,source_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.1791,0.0673
XGBoost,10,intercept_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(-0.0, 0.0)",0.1582,0.2997
XGBoost,10,affine_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.1047,"(0.0197, 0.2567)",0.1592,0.3002
XGBoost,10,repr_only,24,0.0193,"(-0.0136, 0.0562)",-0.0035,"(-0.0315, 0.0467)",0.0039,"(-0.0633, 0.0804)",0.1657,0.217
XGBoost,10,full,24,0.0261,"(-0.0072, 0.0639)",-0.0035,"(-0.028, 0.0483)",0.0607,"(-0.0255, 0.1953)",0.1578,0.2193
XGBoost,10,full_minus_affine,24,0.0193,"(-0.0136, 0.0562)",-0.0035,"(-0.0315, 0.0467)",0.0039,"(-0.0633, 0.0804)",0.1657,0.217
XGBoost,10,full_minus_repr0,24,0.0525,"(0.0137, 0.0986)",0.003,"(-0.0065, 0.0581)",0.1433,"(0.0354, 0.3224)",0.1444,0.2772
XGBoost,10,full_minus_repr1,24,-0.0147,"(-0.0277, -0.0026)",-0.0097,"(-0.0215, 0.0)",0.0933,"(0.0057, 0.243)",0.1724,0.243
MLP,5,source_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.2116,0.0985
MLP,5,intercept_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.1669,0.2227
MLP,5,affine_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.2926,"(0.0108, 0.8462)",0.1666,0.2255
MLP,5,repr_only,24,-0.0031,"(-0.0467, 0.0449)",-0.0177,"(-0.0304, 0.0)",0.5193,"(-0.0271, 1.5426)",0.1787,0.2442
MLP,5,full,24,-0.0027,"(-0.0465, 0.0455)",-0.0174,"(-0.0305, 0.0)",0.5274,"(-0.0272, 1.5652)",0.1763,0.2573
MLP,5,full_minus_affine,24,-0.0031,"(-0.0467, 0.0449)",-0.0177,"(-0.0304, 0.0)",0.5193,"(-0.0271, 1.5426)",0.1787,0.2442
MLP,5,full_minus_repr0,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.2926,"(0.0108, 0.8462)",0.1666,0.2255
MLP,10,source_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.2081,0.0901
MLP,10,intercept_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.1652,0.2104
MLP,10,affine_only,24,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",0.5028,"(0.0219, 1.4473)",0.1606,0.2157
MLP,10,repr_only,24,0.0362,"(-0.0111, 0.0851)",0.0208,"(-0.0175, 0.102)",0.557,"(-0.0511, 1.6916)",0.1576,0.2751
MLP,10,full,24,0.041,"(-0.0076, 0.0911)",0.0227,"(-0.0175, 0.0999)",0.5764,"(-0.0425, 1.7208)",0.1548,0.2845
MLP,10,full_minus_affine,24,0.0362,"(-0.0111, 0.0851)",0.0208,"(-0.0175, 0.102)",0.557,"(-0.0511, 1.6916)",0.1576,0.2751
MLP,10,full_minus_repr0,24,0.0671,"(0.0252, 0.117)",0.0267,"(0.0, 0.0875)",0.5647,"(0.0095, 1.6028)",0.1632,0.3099
MLP,10,full_minus_repr1,24,0.0044,"(-0.0438, 0.0554)",-0.012,"(-0.021, 0.0)",0.625,"(0.0322, 1.7415)",0.1649,0.2738
