lake,learner,k,rep,method,mae_log,mae_orig,rer_log,demeaned_spearman,anomaly_r2
Lake Erie,MLP,1,8,calibrated,0.2006764105653704,130.8332575931434,0.6612367156440105,0.8041881790944518,-27542.783946777727
Lake Erie,PLSR,3,8,calibrated,0.3514437771033543,398.9776643495034,-0.0138487402841749,0.7297032122319961,-112152.10923288862
Lake Erie,XGBoost,3,8,calibrated,0.1996887002999666,6.826826988670029,0.4239359043582865,0.7834564462102664,0.0659021631649692
Lake Erie,MLP,3,8,calibrated,0.2040271266134359,231.40743761229143,0.4114203664141398,0.8040459025850681,-93265.6195068715
Lake Erie,PLSR,5,8,calibrated,0.2627956455677944,38.80589902450813,0.1786970044424516,0.7631810084091849,-1439.2108761006716
Lake Erie,XGBoost,5,8,calibrated,0.2344076902508475,6.512185614619455,0.2674165561001371,0.7638038761975318,0.2703147330096352
Lake Erie,MLP,5,8,calibrated,0.2474146573187793,20.98638632875805,0.2267664890625755,0.6499031184124405,-343.36752064952515
Lake Erie,PLSR,10,8,calibrated,0.302863779665095,726.7594796919064,0.2025561866024678,0.7634960974806559,-306049.1519316512
Lake Erie,XGBoost,10,8,calibrated,0.2202996263905376,31.29138368794827,0.4199485441041921,0.7840395313131765,-1091.2764131368042
Lake Erie,MLP,10,8,calibrated,0.1912653482521915,343.9186526367589,0.4963961296788494,0.845428394981467,-116969.12894319731
Lake Erie,PLSR,0,9,source_only,0.3504768844752889,349.0965960752518,,0.7310627688327969,-102358.1691629412
Lake Erie,XGBoost,0,9,source_only,0.2554247538293229,8.964091586523432,,0.7840159118481286,-0.3901008329597644
Lake Erie,MLP,0,9,source_only,0.245653023027792,189.2269081761513,,0.8051405015429922,-58335.217701922746
Lake Erie,PLSR,1,9,calibrated,0.8525970839441875,61.46483838957519,-0.2334242572894453,0.7297446770899138,-3991.6638678766376
Lake Erie,XGBoost,1,9,calibrated,0.3756849974819961,15.38005651605234,0.4565088192071712,0.783429729139386,-1.9648629818410144
Lake Erie,MLP,1,9,calibrated,0.2715597795491486,209.10236490962384,0.6071433574974593,0.8043860057954423,-71331.41325058053
Lake Erie,PLSR,3,9,calibrated,0.2889250203535504,7.59529275862381,0.3754238108738201,0.7301176823301725,0.2268700321401562
Lake Erie,XGBoost,3,9,calibrated,0.2172039385830172,6.2568985270859,0.5304649988160067,0.783236041313679,0.3529534570828102
Lake Erie,MLP,3,9,calibrated,0.2723239042500961,7.452363467149384,0.4113108429473266,0.8047497300205566,0.1931685954092309
Lake Erie,PLSR,5,9,calibrated,0.2621527008506885,10.16499950312396,0.2323047873811335,0.6382782729651115,-16.01026981531672
Lake Erie,XGBoost,5,9,calibrated,0.2109675218974649,6.090555148806844,0.3821968739894246,0.7945855173242733,0.3059406635702535
Lake Erie,MLP,5,9,calibrated,0.2184267975784025,18.40066146081779,0.3603529258140358,0.8097491948249481,-214.21710218287984
Lake Erie,PLSR,10,9,calibrated,0.2727803625430451,31.191937769248582,0.1920312694894892,0.6851713775143464,-1005.2202976952608
Lake Erie,XGBoost,10,9,calibrated,0.2191428415817969,6.504428036696925,0.3509042826567101,0.742981484895867,0.2887501623537398
