lake,learner,k,variant,mae_log_median,rer_log_median,spearman_median,source_spearman_median,delta_spearman_median,delta_spearman_mean,delta_r2_log_median,delta_r2_log_mean
Chaohu,XGBoost,10,full,0.21754255039619141,0.22857397960366144,0.7167228164398003,0.7744894808829488,-0.04095055463040098,-0.049436488959713934,-0.07031755362528236,-0.21591248456164608
Chaohu,XGBoost,10,full_minus_affine,0.21874311290406262,0.23015308225430392,0.7190007266776912,0.7744894808829488,-0.03644656380625638,-0.04378511223275963,-0.07295732718691805,-0.21913526382054102
Chaohu,XGBoost,10,full_minus_repr0,0.20440708154617387,0.28348315670970464,0.7736083768051107,0.7744894808829488,0.0,-0.01442271390968029,-0.008970925596766599,-0.11739236968991394
Chaohu,XGBoost,10,full_minus_repr1,0.1977986994406436,0.30929156130401964,0.7177230412528494,0.7744894808829488,-0.036531214267257583,-0.060923332485020874,-0.009030882845854071,-0.04893288621701067
Chaohu,XGBoost,10,intercept_only,0.1793206706909703,0.35787099798744326,0.7744894808829488,0.7744894808829488,0.0,0.0,0.0,3.828228383184751e-09
Chaohu,XGBoost,10,repr_only,0.21874311290406262,0.23015308225430392,0.7190007266776912,0.7744894808829488,-0.03644656380625638,-0.04378511223275963,-0.07295732718691805,-0.21913526382054102
Chaohu,XGBoost,10,source_only,0.15966789567379913,0.40650628055403637,0.7744894808829488,0.7744894808829488,0.0,0.0,0.0,0.0
Dianchi,MLP,5,affine_only,0.2533049062826409,-1.3521253501200432,0.3153587047259748,0.3153587047259748,0.0,0.0,6.58468449340848,6.338857470933013
Dianchi,MLP,5,full,0.18080561751687124,-0.684483525974247,-0.001783266190954667,0.3153587047259748,-0.30287264300229955,-0.29706576695210607,11.976339508951867,7.7286283099471556
Dianchi,MLP,5,full_minus_affine,0.1896749290646691,-0.7382398805392953,-0.006401900056195827,0.3153587047259748,-0.3013628563569166,-0.2983802174978554,11.834599875887807,7.430982933571065
Dianchi,MLP,5,full_minus_repr0,0.2533049062826409,-1.3521253501200432,0.3153587047259748,0.3153587047259748,0.0,0.0,6.58468449340848,6.338857470933013
Dianchi,MLP,5,intercept_only,0.3494247475177056,-2.232048173161746,0.3153587047259748,0.3153587047259748,0.0,0.0,0.0,-3.552713678800501e-17
Dianchi,MLP,5,repr_only,0.1896749290646691,-0.7382398805392953,-0.006401900056195827,0.3153587047259748,-0.3013628563569166,-0.2983802174978554,11.834599875887807,7.430982933571065
Dianchi,MLP,5,source_only,0.5236736697181783,-3.797018043814032,0.3153587047259748,0.3153587047259748,0.0,0.0,0.0,0.0
Dianchi,MLP,10,affine_only,0.16524984486564698,-0.48991610144923226,0.3185236741229259,0.3185236741229259,0.0,0.0,11.2235489005079,10.3095316626736
Dianchi,MLP,10,full,0.14115957997606138,-0.33453205162080774,0.469899194311556,0.3185236741229259,0.14995248304706787,0.07438833624439428,13.168151707780346,12.532513431912326
Dianchi,MLP,10,full_minus_affine,0.14815142275827964,-0.41841684612635116,0.45646548689497046,0.3185236741229259,0.1335978215652206,0.05794388958496892,13.025389376484092,12.330047719803968
Dianchi,MLP,10,full_minus_repr0,0.17319207836843956,-0.5823482096141459,0.6626888088199041,0.3185236741229259,0.32833550771349884,0.31514044163479904,12.006278863132344,11.132828542506031
Dianchi,MLP,10,full_minus_repr1,0.16392545619397253,-0.5242288181726666,-0.02596498622362848,0.3185236741229259,-0.33444850221137634,-0.34202884938395955,12.96006423093986,11.620840121440056
Dianchi,MLP,10,intercept_only,0.34449673973779016,-2.276100807986949,0.3185236741229259,0.3185236741229259,0.0,0.0,0.0,-2.842170943040401e-16
Dianchi,MLP,10,repr_only,0.14815142275827964,-0.41841684612635116,0.45646548689497046,0.3185236741229259,0.1335978215652206,0.05794388958496892,13.025389376484092,12.330047719803968
Dianchi,MLP,10,source_only,0.5242089528778946,-3.97472304619447,0.3185236741229259,0.3185236741229259,0.0,0.0,0.0,0.0
Dianchi,PLSR,5,affine_only,0.21738404935505812,-0.9585904366234086,0.5162629486071342,0.5162629486071342,0.0,0.0,3.1611337865018125,3.1583279544028215
Dianchi,PLSR,5,full,0.2025169611325821,-0.8430363705896833,0.32275179147080585,0.5162629486071342,-0.19869488621730982,-0.2239649137411649,4.4551641718540615,0.4587979409232291
Dianchi,PLSR,5,full_minus_affine,0.21062744790909482,-0.9250522251621175,0.32323690742504446,0.5162629486071342,-0.19908797471198586,-0.22467549452298866,3.817809333983454,-0.04654915707158008
Dianchi,PLSR,5,full_minus_repr0,0.21738404935505812,-0.9585904366234086,0.5162629486071342,0.5162629486071342,0.0,0.0,3.1611337865018125,3.1583279544028215
Dianchi,PLSR,5,intercept_only,0.2775020525279148,-1.5955557034715377,0.5162629486071342,0.5162629486071342,0.0,0.0,0.0,-4.4408920985006264e-17
Dianchi,PLSR,5,repr_only,0.21062744790909482,-0.9250522251621175,0.32323690742504446,0.5162629486071342,-0.19908797471198586,-0.22467549452298866,3.817809333983454,-0.04654915707158008
