lake,learner,k,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace,delta_anomaly_r2_origspace
Erhai,PLSR,1,0.7482301516481988,0.7482301516481988,0.0,0.22946001354021095,0.22946001354021095,0.0,0.007705846153750584
Erhai,PLSR,3,0.7521393730849423,0.7521393730849423,0.0,0.22680795501490503,0.22658319922409004,0.00015322162067504808,0.0020321430772186067
Erhai,PLSR,5,0.7180568406629502,0.7494958879373173,-0.014755591713274396,0.20266990638546456,0.21953848979298585,-0.011126622685061094,0.01613889517353223
Erhai,PLSR,10,0.7339336915634203,0.7326565122538145,0.014195187683858801,0.27641233683292066,0.19596529905443477,0.07337776867099555,0.07103023455395396
Erhai,XGBoost,1,0.5424121553493049,0.5424121553493049,0.0,0.03598807981002683,0.03598812684469621,0.0,0.05382672292374513
Erhai,XGBoost,3,0.5371127197405281,0.5371127197405281,0.0,0.029667539693208955,0.02885901691914383,0.0021806919334858565,0.04532708931463958
Erhai,XGBoost,5,0.4642315286172236,0.5341397334229199,-0.04380900027564483,-0.049205783991101426,0.02221544193566688,-0.06761902541857234,0.036909331319782246
Erhai,XGBoost,10,0.5643413715467704,0.5228607403894048,0.06731796750694427,0.05871092229480984,0.004037863707833822,0.0779170179374723,0.10083433113395823
Garda,MLP,1,0.5058566137927785,0.5058566137927785,0.0,0.17027075238833,0.17027075238833,0.0,0.3465834299018472
Garda,MLP,3,0.50702934577323,0.50702934577323,0.0,0.16780223697854074,0.16886251967398402,-0.0002855514157060757,0.37369869305196657
Garda,MLP,5,0.4633363964196085,0.5083177660568974,-0.016772846323016594,0.0199858828414739,0.1697334925148385,-0.14841258900460608,0.11579500388002334
Garda,MLP,10,0.4042439183555976,0.5168676598152226,-0.07311264395650291,-0.009864198787718936,0.17528337436729313,-0.14671495261495832,-0.08823874964161077
Garda,PLSR,1,-0.1496975170078884,-0.1496975170078884,0.0,-0.09603426948850613,-0.09603426948850624,0.0,0.19324660426900708
Garda,PLSR,3,-0.1473869210362509,-0.1473869210362509,0.0,-0.0939289654234784,-0.09574825810595844,0.0007905401092686004,0.19249793027116535
Garda,PLSR,5,0.35818730726693015,-0.1374759422875885,0.5108157739359996,-0.07078033995811173,-0.0922233251164537,0.08531097841653668,0.08550648481919465
Garda,PLSR,10,0.2837734730054634,-0.13556208232435116,0.41325087636037205,-0.0827409631682936,-0.08837505193487605,0.028804860570335933,0.171437558073523
Garda,XGBoost,1,0.44973613450177297,0.44973613450177297,0.0,-0.20463401635539424,-0.20463401047304774,-1.1509998509851016e-09,6.27301419733722
Garda,XGBoost,3,0.44397752682549096,0.44397752682549096,0.0,-0.14681210903770037,-0.21459494773830678,0.05967528335454919,6.260809322582384
Garda,XGBoost,5,0.42819173491174234,0.43918981029474946,-0.00989826796944504,-0.4093157495392231,-0.20315827070143966,-0.09560133252553826,5.769328392718828
Garda,XGBoost,10,0.40760248734411825,0.4451228871887742,-0.04366067422695448,-0.301665500513875,-0.18001741704116603,-0.028317235422205655,5.2980253498556635
