lake,learner,k,rep,worst_metric,diff_val
Lake Erie,PLSR,1,17,rer_log,5.898059818321144e-17
Lake Erie,XGBoost,1,17,mae_log,5.551115123125783e-17
Lake Erie,MLP,1,17,anomaly_r2,1.8189894035458565e-12
Lake Erie,PLSR,3,17,rer_log,8.500145032286355e-17
Lake Erie,XGBoost,3,17,anomaly_r2,2.7755575615628914e-17
Lake Erie,MLP,3,17,anomaly_r2,7.275957614183426e-12
Lake Erie,PLSR,5,17,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,17,mae_log,5.551115123125783e-17
Lake Erie,MLP,5,17,spearman,8.326672684688674e-17
Lake Erie,PLSR,10,17,mae_log,0.0
Lake Erie,XGBoost,10,17,mae_log,8.326672684688674e-17
Lake Erie,MLP,10,17,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,1,18,mae_log,0.0
Lake Erie,XGBoost,1,18,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,1,18,rer_log,5.551115123125783e-17
Lake Erie,PLSR,3,18,anomaly_r2,3.637978807091713e-12
Lake Erie,XGBoost,3,18,mae_log,5.551115123125783e-17
Lake Erie,MLP,3,18,mae_log,5.551115123125783e-17
Lake Erie,PLSR,5,18,rer_log,6.938893903907228e-17
Lake Erie,XGBoost,5,18,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,5,18,mae_log,8.326672684688674e-17
Lake Erie,PLSR,10,18,mae_log,0.0
Lake Erie,XGBoost,10,18,rer_log,8.326672684688674e-17
Lake Erie,MLP,10,18,rer_log,8.326672684688674e-17
Lake Erie,PLSR,1,19,mae_log,0.0
Lake Erie,XGBoost,1,19,rer_log,5.551115123125783e-17
Lake Erie,MLP,1,19,mae_log,0.0
Lake Erie,PLSR,3,19,rer_log,7.632783294297951e-17
Lake Erie,XGBoost,3,19,rer_log,5.551115123125783e-17
Lake Erie,MLP,3,19,mae_log,0.0
Lake Erie,PLSR,5,19,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,19,mae_log,8.326672684688674e-17
Lake Erie,MLP,5,19,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,10,19,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,10,19,rer_log,2.7755575615628914e-17
Lake Erie,MLP,10,19,rer_log,5.551115123125783e-17
Lake Erie,PLSR,1,20,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,1,20,anomaly_r2,8.326672684688674e-17
Lake Erie,MLP,1,20,anomaly_r2,3.637978807091713e-12
Lake Erie,PLSR,3,20,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,20,mae_log,5.551115123125783e-17
Lake Erie,MLP,3,20,mae_log,5.551115123125783e-17
Lake Erie,PLSR,5,20,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,20,rer_log,5.551115123125783e-17
Lake Erie,MLP,5,20,rer_log,5.551115123125783e-17
Lake Erie,PLSR,10,20,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,10,20,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,10,20,mae_log,0.0
Lake Erie,PLSR,1,21,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,1,21,mae_log,0.0
Lake Erie,MLP,1,21,mae_log,8.326672684688674e-17
Lake Erie,PLSR,3,21,mae_log,0.0
Lake Erie,XGBoost,3,21,mae_log,5.551115123125783e-17
Lake Erie,MLP,3,21,mae_log,5.551115123125783e-17
Lake Erie,PLSR,5,21,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,21,mae_log,8.326672684688674e-17
Lake Erie,MLP,5,21,rer_log,5.551115123125783e-17
Lake Erie,PLSR,10,21,rer_log,6.591949208711867e-17
Lake Erie,XGBoost,10,21,mae_log,2.7755575615628914e-17
Lake Erie,MLP,10,21,anomaly_r2,1.4551915228366852e-11
Lake Erie,PLSR,1,22,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,1,22,mae_log,8.326672684688674e-17
Lake Erie,MLP,1,22,anomaly_r2,3.637978807091713e-12
Lake Erie,PLSR,3,22,rer_log,3.599551212651875e-17
Lake Erie,XGBoost,3,22,rer_log,5.551115123125783e-17
Lake Erie,MLP,3,22,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,5,22,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,22,mae_log,8.326672684688674e-17
Lake Erie,MLP,5,22,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,10,22,mae_log,0.0
Lake Erie,XGBoost,10,22,rer_log,5.551115123125783e-17
Lake Erie,MLP,10,22,rer_log,5.551115123125783e-17
Lake Erie,PLSR,1,23,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,1,23,mae_log,5.551115123125783e-17
Lake Erie,MLP,1,23,rer_log,2.7755575615628914e-17
Lake Erie,PLSR,3,23,mae_log,0.0
Lake Erie,XGBoost,3,23,mae_log,8.326672684688674e-17
Lake Erie,MLP,3,23,mae_log,8.326672684688674e-17
Lake Erie,PLSR,5,23,mae_log,0.0
Lake Erie,XGBoost,5,23,mae_log,0.0
Lake Erie,MLP,5,23,mae_log,5.551115123125783e-17
Lake Erie,PLSR,10,23,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,10,23,mae_log,0.0
Lake Erie,MLP,10,23,rer_log,5.551115123125783e-17
Lake Erie,PLSR,1,24,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,1,24,mae_log,5.551115123125783e-17
Lake Erie,MLP,1,24,anomaly_r2,1.4551915228366852e-11
Lake Erie,PLSR,3,24,rer_log,6.938893903907228e-17
Lake Erie,XGBoost,3,24,mae_log,5.551115123125783e-17
Lake Erie,MLP,3,24,rer_log,5.551115123125783e-17
Lake Erie,PLSR,5,24,anomaly_r2,4.547473508864641e-13
Lake Erie,XGBoost,5,24,mae_log,5.551115123125783e-17
Lake Erie,MLP,5,24,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,10,24,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,10,24,mae_log,2.7755575615628914e-17
Lake Erie,MLP,10,24,rer_log,5.551115123125783e-17
Lake Erie,PLSR,1,25,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,1,25,mae_log,8.326672684688674e-17
Lake Erie,MLP,1,25,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,3,25,rer_log,6.591949208711867e-17
Lake Erie,XGBoost,3,25,mae_log,5.551115123125783e-17
Lake Erie,MLP,3,25,mae_log,0.0
Lake Erie,PLSR,5,25,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,25,mae_log,2.7755575615628914e-17
Lake Erie,MLP,5,25,mae_log,8.326672684688674e-17
Lake Erie,PLSR,10,25,anomaly_r2,9.020562075079397e-17
Lake Erie,XGBoost,10,25,mae_log,8.326672684688674e-17
Lake Erie,MLP,10,25,rer_log,5.551115123125783e-17
Lake Erie,PLSR,1,26,mae_log,0.0
Lake Erie,XGBoost,1,26,mae_log,8.326672684688674e-17
Lake Erie,MLP,1,26,mae_log,8.326672684688674e-17
Lake Erie,PLSR,3,26,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,26,mae_log,5.551115123125783e-17
Lake Erie,MLP,3,26,anomaly_r2,8.326672684688674e-17
Lake Erie,PLSR,5,26,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,26,rer_log,9.367506770274758e-17
Lake Erie,MLP,5,26,rer_log,6.418476861114186e-17
Lake Erie,PLSR,10,26,anomaly_r2,2.3283064365386963e-10
Lake Erie,XGBoost,10,26,rer_log,5.551115123125783e-17
Lake Erie,MLP,10,26,rer_log,2.7755575615628914e-17
Lake Erie,PLSR,1,27,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,1,27,mae_log,2.7755575615628914e-17
Lake Erie,MLP,1,27,mae_log,5.551115123125783e-17
Lake Erie,PLSR,3,27,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,27,anomaly_r2,7.719519468096792e-17
Lake Erie,MLP,3,27,mae_log,0.0
Lake Erie,PLSR,5,27,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,5,27,rer_log,9.020562075079397e-17
Lake Erie,MLP,5,27,spearman,5.551115123125783e-17
Lake Erie,PLSR,10,27,rer_log,2.7755575615628914e-17
Lake Erie,XGBoost,10,27,rer_log,5.551115123125783e-17
Lake Erie,MLP,10,27,rer_log,8.326672684688674e-17
Lake Erie,PLSR,1,28,mae_log,0.0
Lake Erie,XGBoost,1,28,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,1,28,mae_log,5.551115123125783e-17
Lake Erie,PLSR,3,28,rer_log,9.020562075079397e-17
Lake Erie,XGBoost,3,28,mae_log,5.551115123125783e-17
Lake Erie,MLP,3,28,mae_log,5.551115123125783e-17
Lake Erie,PLSR,5,28,mae_log,0.0
Lake Erie,XGBoost,5,28,mae_log,8.326672684688674e-17
Lake Erie,MLP,5,28,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,10,28,anomaly_r2,2.2737367544323206e-13
Lake Erie,XGBoost,10,28,mae_log,2.7755575615628914e-17
Lake Erie,MLP,10,28,anomaly_r2,2.9103830456733704e-11
Lake Erie,PLSR,1,29,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,1,29,anomaly_r2,1.7763568394002505e-15
Lake Erie,MLP,1,29,anomaly_r2,1.4551915228366852e-11
Lake Erie,PLSR,3,29,rer_log,9.020562075079397e-17
Lake Erie,XGBoost,3,29,mae_log,0.0
Lake Erie,MLP,3,29,anomaly_r2,1.4551915228366852e-11
Lake Erie,PLSR,5,29,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,29,mae_log,0.0
Lake Erie,MLP,5,29,rer_log,1.3877787807814457e-17
Lake Erie,PLSR,10,29,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,10,29,mae_log,2.7755575615628914e-17
Lake Erie,MLP,10,29,mae_log,5.551115123125783e-17
Lake Erie,PLSR,1,30,anomaly_r2,7.275957614183426e-12
Lake Erie,XGBoost,1,30,mae_log,8.326672684688674e-17
Lake Erie,MLP,1,30,rer_log,2.7755575615628914e-17
Lake Erie,PLSR,3,30,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,30,mae_log,0.0
Lake Erie,MLP,3,30,mae_log,0.0
Lake Erie,PLSR,5,30,rer_log,2.7755575615628914e-17
Lake Erie,XGBoost,5,30,mae_log,2.7755575615628914e-17
Lake Erie,MLP,5,30,rer_log,5.551115123125783e-17
Lake Erie,PLSR,10,30,rer_log,6.938893903907228e-17
Lake Erie,XGBoost,10,30,anomaly_r2,8.326672684688674e-17
Lake Erie,MLP,10,30,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,1,31,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,1,31,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,1,31,anomaly_r2,1.8189894035458565e-12
Lake Erie,PLSR,3,31,rer_log,6.938893903907228e-18
Lake Erie,XGBoost,3,31,rer_log,2.7755575615628914e-17
Lake Erie,MLP,3,31,mae_log,8.326672684688674e-17
Lake Erie,PLSR,5,31,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,31,mae_log,0.0
Lake Erie,MLP,5,31,mae_log,5.551115123125783e-17
Lake Erie,PLSR,10,31,anomaly_r2,5.820766091346741e-11
Lake Erie,XGBoost,10,31,rer_log,3.469446951953614e-17
Lake Erie,MLP,10,31,rer_log,2.7755575615628914e-17
Lake Erie,PLSR,1,32,rer_log,2.7755575615628914e-17
Lake Erie,XGBoost,1,32,mae_log,0.0
Lake Erie,MLP,1,32,mae_log,8.326672684688674e-17
Lake Erie,PLSR,3,32,mae_log,0.0
Lake Erie,XGBoost,3,32,rer_log,8.326672684688674e-17
Lake Erie,MLP,3,32,mae_log,0.0
Lake Erie,PLSR,5,32,rer_log,2.7755575615628914e-17
Lake Erie,XGBoost,5,32,mae_log,8.326672684688674e-17
Lake Erie,MLP,5,32,anomaly_r2,6.821210263296962e-13
