lake,learner,k,rep,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_origspace,source_anomaly_r2_origspace,delta_anomaly_r2_origspace,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace
Lake Erie,XGBoost,10,2,0.7491079748899548,0.7847524113525599,-0.03564443646260507,-103993.13453033932,-0.40720510889200745,-103992.72732523043,-0.19256065699498914,0.5601826997102313,-0.7527433567052204
Lake Erie,MLP,10,2,0.844761864168444,0.8034023472380722,0.041359516930371765,-116885.42998083173,-59562.199270385994,-57323.230710445736,0.2167529532235185,0.3741735980332286,-0.15742064480971008
Lake Erie,PLSR,1,3,0.7312097390949648,0.7312097390949648,0.0,-71304.17195688093,-102447.6646258631,31143.49266898216,-0.5247231756554762,-0.5247231756554762,0.0
Lake Erie,XGBoost,1,3,0.7837304706186851,0.7837304706186851,0.0,0.3291162869204619,-0.39131750641426843,0.7204337933347303,0.5593430467442593,0.5593430444164242,2.3278350358424404e-09
Lake Erie,MLP,1,3,0.8059645973555787,0.8059645973555787,0.0,-4259.557994401311,-58386.54081323776,54126.982818836455,0.3812438665329655,0.3812438665329656,-1.1102230246251565e-16
Lake Erie,PLSR,3,3,0.7311864883928954,0.7311864883928954,0.0,-138112.5336554815,-102729.04320032898,-35383.490455152525,-0.9940411581691346,-0.5316427208492223,-0.46239843731991237
Lake Erie,XGBoost,3,3,0.7846163925128397,0.7846163925128397,0.0,0.11466117673697429,-0.3933848873935364,0.5080460641305107,0.5391703431712664,0.5613871548508546,-0.02221681167958811
Lake Erie,MLP,3,3,0.8041797392662341,0.8041797392662341,0.0,-96315.38611129411,-58547.50602920406,-37767.88008209005,0.2476199627553971,0.37667530293787865,-0.12905534018248155
Lake Erie,PLSR,5,3,0.5618417031580876,0.7331625117332347,-0.1713208085751471,-139.5403601165692,-102597.96404072107,102458.4236806045,0.21766135952388121,-0.5206879570743741,0.7383493165982553
Lake Erie,XGBoost,5,3,0.6836028785569804,0.7858599157466654,-0.10225703718968493,0.20360542398568826,-0.38867136244246026,0.5922767864281485,0.35491325731780565,0.5609750485328144,-0.20606179121500878
Lake Erie,MLP,5,3,0.7957524326790125,0.8057199723604868,-0.009967539681474236,-12376.426978717009,-58473.354489504316,46096.92751078731,0.4465650963837089,0.3798422456234828,0.0667228507602261
Lake Erie,PLSR,10,3,0.7990071663147639,0.733583520776629,0.06542364553813484,-369818.58426547074,-103289.59830565464,-266528.9859598161,-2.0783772016093334,-0.54520963965014,-1.5331675619591933
Lake Erie,XGBoost,10,3,0.8528618216404797,0.7861886135841774,0.06667320805630239,-216755.99364032949,-0.3944921547517093,-216755.59914817475,-0.2892404548404457,0.5563217393390201,-0.8455621941794658
Lake Erie,MLP,10,3,0.835805944009568,0.80743536355607,0.02837058045349794,-278095.5792749438,-58869.07360946989,-219226.5056654739,-0.28922210361100364,0.37562618042937224,-0.6648482840403759
Lake Erie,PLSR,1,4,0.7306407644584123,0.7306407644584123,0.0,-128043.7389813966,-103865.53550511097,-24178.203476285635,-0.5302614584011809,-0.5302614584011809,0.0
Lake Erie,XGBoost,1,4,0.7835342194920446,0.7835342194920446,0.0,-4.6371034005838565,-0.40163606955043973,-4.2354673310334165,0.5589637085128105,0.5589636944571044,1.4055706154536551e-08
Lake Erie,MLP,1,4,0.8045016500354469,0.8045016500354469,0.0,-95814.7135062895,-59194.617520505526,-36620.09598578397,0.37779642753415676,0.37779642753415665,1.1102230246251565e-16
Lake Erie,PLSR,3,4,0.7318632632870641,0.7318632632870641,0.0,-116223.02616722375,-102416.73273638665,-13806.293430837104,-0.5763621168806423,-0.519991588700299,-0.05637052818034327
Lake Erie,XGBoost,3,4,0.78498059986113,0.78498059986113,0.0,-0.44199718032418644,-0.38989115709686684,-0.05210602322731961,0.5575000574605413,0.5601455050702622,-0.0026454476097208524
Lake Erie,MLP,3,4,0.8055557279841931,0.8055557279841931,0.0,-71610.18610057552,-58369.556345348254,-13240.629755227266,0.3625904493023545,0.38054803015017724,-0.01795758084782273
Lake Erie,PLSR,5,4,0.4704949312816053,0.7302518482232436,-0.2597569169416383,-47.214198159215144,-102591.89538207113,102544.68118391192,0.12259189543759563,-0.5194681030164521,0.6420599984540477
Lake Erie,XGBoost,5,4,0.7583724138938069,0.7856566655570374,-0.027284251663230452,-0.8629509247789569,-0.392086569762814,-0.4708643550161429,0.4641301536748934,0.5604962787612298,-0.09636612508633635
Lake Erie,MLP,5,4,0.793714868889453,0.8044344233300319,-0.010719554440578927,-97121.2731526422,-58469.42431915702,-38651.84883348518,0.15190807424435515,0.3790938114866831,-0.22718573724232793
Lake Erie,PLSR,10,4,0.6840465006881983,0.7327925034872801,-0.04874600279908181,-3.9569759393326187,-102718.2524676612,102714.29549172186,0.29851261855011635,-0.5154287167232894,0.8139413352734057
Lake Erie,XGBoost,10,4,0.8544415299613572,0.785161549172025,0.06927998078933228,-2355.4952708427973,-0.39346299214611946,-2355.1018078506513,0.449395911670478,0.5599327400244144,-0.11053682835393641
Lake Erie,MLP,10,4,0.8621741491016006,0.8059476027021354,0.05622654639946523,-277369.6642037274,-58542.993094333164,-218826.67110939423,-0.11950082338223389,0.38007996837780267,-0.49958079176003656
Lake Erie,PLSR,1,5,0.7295791926288671,0.7295791926288671,0.0,-7772.469636110023,-102511.97381345429,94739.50417734426,-0.5429620149803402,-0.5429620149803402,0.0
Lake Erie,XGBoost,1,5,0.7828073481102561,0.7828073481102561,0.0,0.30360033474471326,-0.39209062837225517,0.6956909631169684,0.5535308587293283,0.55353085920484,-4.75511741093726e-10
Lake Erie,MLP,1,5,0.8040374144990208,0.8040374144990208,0.0,-6540.572028408084,-58423.16879362387,51882.596765215785,0.3711629479735201,0.3711629479735201,0.0
