lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
Eagle Creek Reservoir,XGBoost,5,calibrated,-0.0460479078045938,0.16320382961648922,0.3028400230382316
Eagle Creek Reservoir,XGBoost,10,calibrated,0.14575093461025715,0.13299644407244648,0.6000085481936797
Erhai,MLP,0,source_only,,0.1467786703352379,0.6085358667542468
Erhai,MLP,1,calibrated,-0.1002206308637672,0.1632048328340375,0.6068992198557127
Erhai,MLP,3,calibrated,0.01142558339231825,0.14899031744831853,0.6026434428161807
Erhai,MLP,5,calibrated,0.12943592056623845,0.12382750396913411,0.6507791126764036
Erhai,MLP,10,calibrated,0.29205341294056975,0.0995039557592757,0.7392197899128123
Erhai,PLSR,0,source_only,,0.0935843689900606,0.7530527616643241
Erhai,PLSR,1,calibrated,0.3690401653594322,0.0970554921766154,0.7482301516481988
Erhai,PLSR,3,calibrated,0.3120203196755563,0.10053047493404235,0.7521393730849423
Erhai,PLSR,5,calibrated,0.24344863028756494,0.11233778437627745,0.7180568406629502
Erhai,PLSR,10,calibrated,0.25427698087104283,0.10300221896438765,0.7339336915634203
Erhai,XGBoost,0,source_only,,0.1271260884150092,0.546176648770079
Erhai,XGBoost,1,calibrated,0.21068678699921214,0.1153995045283598,0.5424121553493049
Erhai,XGBoost,3,calibrated,0.21104408181803064,0.11311905317084645,0.5371127197405281
Erhai,XGBoost,5,calibrated,0.10751075229124245,0.12845741870904054,0.4642315286172236
Erhai,XGBoost,10,calibrated,0.1656477804621107,0.12097146459792775,0.5643413715467704
Garda,MLP,0,source_only,,0.4539544933522516,0.5125074132044826
Garda,MLP,1,calibrated,0.12062652952891614,0.26851124751137556,0.5058566137927785
Garda,MLP,3,calibrated,0.11039022287985456,0.2581272168865152,0.50702934577323
Garda,MLP,5,calibrated,0.0272612549086137,0.283507994504661,0.4633363964196085
Garda,MLP,10,calibrated,-0.0261085771957837,0.28912715875025846,0.4042439183555975
Garda,PLSR,0,source_only,,0.5683406052809709,-0.148192057947167
Garda,PLSR,1,calibrated,-0.03937056354484115,0.31770728017925215,-0.1496975170078884
Garda,PLSR,3,calibrated,-0.035592162179001005,0.3009289715933586,-0.14738692103625084
Garda,PLSR,5,calibrated,-0.06353002233926469,0.31424396179887804,0.3581873072669301
Garda,PLSR,10,calibrated,-0.08036354295319845,0.29207399128390443,0.28377347300546335
Garda,XGBoost,0,source_only,,0.5897237135686086,0.4522821608547538
Garda,XGBoost,1,calibrated,-0.05611145012203455,0.3302345579148568,0.4497361345017729
Garda,XGBoost,3,calibrated,0.01881272872847995,0.29433922892173425,0.4439775268254909
Garda,XGBoost,5,calibrated,-0.14996225926718976,0.3226581036494709,0.42819173491174234
Garda,XGBoost,10,calibrated,-0.0693544084806256,0.2865570561832762,0.40760248734411825
Geist Reservoir,MLP,0,source_only,,0.1244068187965522,0.0601719726286933
Geist Reservoir,MLP,1,calibrated,-0.241752906618938,0.1423703557851745,0.0654998238249031
Geist Reservoir,MLP,3,calibrated,-0.2045404556130036,0.12735962107836063,0.0630785149795454
Geist Reservoir,MLP,5,calibrated,-0.29894955026594483,0.1357883664384142,0.051263488375370245
Geist Reservoir,MLP,10,calibrated,-0.2595968532364527,0.12610843103935454,0.2616530083011336
Geist Reservoir,PLSR,0,source_only,,0.13643985749474,0.292107576215657
Geist Reservoir,PLSR,1,calibrated,-0.17367485017337875,0.1463988098660124,0.297329503302136
Geist Reservoir,PLSR,3,calibrated,-0.18259050372844704,0.1227357351425715,0.2960797087580259
Geist Reservoir,PLSR,5,calibrated,-0.1519155565228844,0.1208787272909832,0.24444067489745014
Geist Reservoir,PLSR,10,calibrated,-0.1401022611586391,0.11549586082330054,0.3817867907113418
Geist Reservoir,XGBoost,0,source_only,,0.1386463306043483,0.1259166904497032
Geist Reservoir,XGBoost,1,calibrated,-0.38484208236758527,0.1649590063421045,0.125746567894796
Geist Reservoir,XGBoost,3,calibrated,-0.380272316003448,0.14514387373497106,0.13552450056858684
Geist Reservoir,XGBoost,5,calibrated,-0.5099871624162464,0.15535393798492464,0.07548506000709886
Geist Reservoir,XGBoost,10,calibrated,-0.3934717351878292,0.14363348593800868,0.25163087677400675
High Rock Lake,MLP,0,source_only,,0.2177829904994436,0.6178071686273343
High Rock Lake,MLP,1,calibrated,-0.1364439509150157,0.3024791497590484,0.6201789015895134
High Rock Lake,MLP,3,calibrated,0.0824270551855225,0.2197441670718781,0.6175894357825732
