Site_name,Country,Water_body_type,n_raw,lat_min,lat_max,lon_min,lon_max,TSS_min,TSS_max,TSS_median,n_group,n_unique_dates,is_lake_reservoir,eligible_n_group_ge20,eligible_n_group_ge15,eligible_n_group_ge10,tss_dynamic_range_ratio
"Bahia Grande, TX",United States of America (the),2,8,26.0178855555556,26.0480466666667,-97.3050366666667,-97.2778416666667,86.707231040564,295.465727502103,155.8564680754205,8,1,False,False,False,False,3.4076249922440276
"James River, VA",United States of America (the),4,8,36.9476146666667,37.0161356666667,-76.4823166666667,-76.327879,22.97,109.518518518519,42.08553946053945,8,2,False,False,False,False,4.76789370999212
"St. Jones River, DE",United States of America (the),4,8,39.0664666666667,39.14585,-75.5121166666667,-75.4044166666667,15.7,91.0,25.85,8,1,False,False,False,False,5.796178343949045
Gironde River,France,2,32,44.6366,45.5165,-1.234,-0.629,8.14,2626.82,255.63,8,8,False,False,False,False,322.7051597051597
"Satilla River, GA",United States of America (the),4,8,30.8890333333333,30.9845,-81.8537666666667,-81.5730166666667,19.3023255813958,94.6875,58.260652920962656,8,1,False,False,False,False,4.905496987951693
"Bayou Cumbest, MS",United States of America (the),2,8,30.361140538,30.398183,-88.446817,-88.43685,9.36705685618737,33.92,16.4603983350585,8,2,False,False,False,False,3.6212014638935694
Lake Vänern,Sweden,1,7,58.56421667,58.78896667,13.14568333,13.38575,0.723,1.527,0.893,7,2,True,False,False,False,2.112033195020747
"Sapelo Sound, GA",United States of America (the),2,15,31.5236,31.54152,-81.207915,-81.1153333333333,14.8429752066112,110.314285714286,53.2448979591836,7,3,False,False,False,False,7.432087177855757
"Bayou Heron, MS",United States of America (the),2,7,30.37828,30.4222166666667,-88.408094042,-88.3967,7.2326007326009,26.2,15.9857503607501,7,2,False,False,False,False,3.6224867054949783
"East Bay, FL",United States of America (the),2,7,29.73897839,29.7834488888889,-84.94373963,-84.8758072222222,4.1,27.7,13.33,7,4,False,False,False,False,6.75609756097561
Lake Pamamaroo,Australia,1,7,-32.305437,-32.2550099,142.4343434,142.4852025,118.667,175.0,133.0,7,5,True,False,False,False,1.4747149586658463
"Neuse River, NC",United States of America (the),4,7,34.9751833333333,35.1918166666667,-77.1063166666667,-76.8382166666667,3.54545454545436,15.4303030303029,6.80254777070051,7,2,False,False,False,False,4.352136752136944
Ogallala Lake,United States of America (the),1,7,41.21129,41.23057,-101.66596,-101.6381,5.0,9.11,7.25,7,1,True,False,False,False,1.8219999999999998
Iznájar,Spain,1,6,37.2780555555555,37.2836111111111,-4.37416666666667,-4.33722222222222,0.7,1.89,0.8200000000000001,6,1,True,False,False,False,2.7
Soai Rap River,Viet Nam,3,6,10.5271,10.6708,106.7485,106.8979,41.26,240.14,135.29,6,2,False,False,False,False,5.820164808531265
Lac Vieux Desert,United States of America (the),1,6,46.12621,46.13144,-89.14101,-89.08928,2.27,3.2,2.635,6,2,True,False,False,False,1.4096916299559472
"Intracoastal Waterway, GA",United States of America (the),2,6,31.4635833333333,31.54375,-81.3242333333333,-81.2078833333333,49.3912526741146,97.4475162625668,58.44583333333365,6,2,False,False,False,False,1.9729711434032517
Lake Bonney,Australia,1,6,-34.24198,-34.203198,140.432197,140.4545178,12.556,22.533,17.305500000000002,6,4,True,False,False,False,1.7946001911436766
"St. Johns River, FL",United States of America (the),4,7,29.4883833333333,30.168674,-81.6968666666667,-81.63085,10.9565217391308,24.6249999999976,16.1666666666665,6,3,False,False,False,False,2.2475198412695474
Cuerda del Pozo,Spain,1,6,41.8541666666667,41.8580555555556,-2.76305555555555,-0.411666666666667,1.47,7.19,1.8849999999999998,6,2,True,False,False,False,4.891156462585035
Green Lake,United States of America (the),1,6,43.79259,43.82646,-89.05244,-88.96571,1.6,2.3,2.0,6,2,True,False,False,False,1.4374999999999998
Albufera,Spain,1,6,39.3238888888889,39.3441666666667,-0.372777777777778,-0.342222222222222,54.29,78.82,61.865,6,1,True,False,False,False,1.4518327500460488
Pine Lake,United States of America (the),1,6,45.66926,45.68749,-88.98801,-88.97905,4.24,10.7,8.67,6,2,True,False,False,False,2.523584905660377
Lake Chippewa,United States of America (the),1,6,45.92926,45.96172,-91.22189,-91.15983,2.6,8.4,4.72,6,2,True,False,False,False,3.230769230769231
Mamiraua,Brazil,1,6,-2.999194,-2.889556,-64.980194,-64.925306,4.0,7.0,4.85,6,2,True,False,False,False,1.75
Lake Wissota,United States of America (the),1,6,44.93568,44.97274,-91.3331,-91.32205,1.4,18.5,6.1,6,2,True,False,False,False,13.214285714285715
Big Saint Germain Lake,United States of America (the),1,6,45.93213,45.93718,-89.53514,-89.50185,1.6,3.0,2.75,6,2,True,False,False,False,1.875
Almendra,Spain,1,6,41.2183333333333,41.2583333333333,-6.295,-6.27111111111111,2.2,5.17,3.295,6,1,True,False,False,False,2.3499999999999996
Trout Lake,United States of America (the),1,6,46.02681,46.06101,-89.67973,-89.66081,1.1,1.67,1.5,6,2,True,False,False,False,1.518181818181818
Petenwell Lake,United States of America (the),1,6,44.09984,44.17773,-90.00058,-89.92243,5.07,123.0,20.5,6,2,True,False,False,False,24.260355029585796
"Nueces Bay, TX",United States of America (the),2,7,27.8426833333333,27.8506333333333,-97.5104472222222,-97.3851333333333,40.28,169.08,67.82,6,2,False,False,False,False,4.197616683217478
Vaal,South Africa,1,6,-26.916276,-26.882568,28.117578,28.158648,4.8,84.0,14.25,6,2,True,False,False,False,17.5
"Charlotte Harbor, FL",United States of America (the),2,5,26.716131,26.9603166666667,-82.240358,-82.0139833333333,11.4874651810585,53.2043010752688,15.8031496062992,5,1,False,False,False,False,4.6315092352137475
"Bush River, MD",United States of America (the),4,5,39.3504,39.44586,-76.27518,-76.2465,7.0,22.0,10.7,5,1,False,False,False,False,3.142857142857143
"Doboy Sound, GA",United States of America (the),2,5,31.40398,31.4478666666667,-81.3534833333333,-81.2868833333333,25.7499999999998,65.5483870967739,36.7924528301884,5,3,False,False,False,False,2.545568430942695
Roatan Island Inshore,Honduras,3,5,16.314,16.354,-86.585,-86.522,0.3023,2.679,1.27,5,4,False,False,False,False,8.862057558716506
"Aransas Channel, TX",United States of America (the),2,5,27.82155,27.8828833333333,-97.1908166666667,-97.0771694444444,1.88,29.1100000000002,21.7615384615386,5,3,False,False,False,False,15.484042553191596
"St. Helena Sound, SC",United States of America (the),2,5,32.4332,32.4861833333333,-80.4778055555556,-80.3736,41.93,87.75,60.28,5,2,False,False,False,False,2.092773670403053
McConaughy Lake,United States of America (the),1,5,41.22194,41.28278,-101.94472,-101.69028,5.6,88.0,8.0,5,1,True,False,False,False,15.714285714285715
Loch Lomond,United Kingdom of Great Britain and Northern Ireland (the),5,5,56.02456,56.30285,-4.71639,-4.54885,0.407,1.231,0.9985,5,3,False,False,False,False,3.024570024570025
Lake Rybiec,Poland,1,5,54.29455,54.29455,17.15594,17.15594,5.161,47.667,32.133,5,5,True,False,False,False,9.236000775043598
Lake Niezabyszewskie,Poland,1,5,54.1273,54.1273,17.42972,17.42972,4.267,7.975,6.471,5,5,True,False,False,False,1.8689946097961094
"Mississippi Sound, MS",United States of America (the),2,5,30.2973697222222,30.3292,-88.5265011111111,-88.2645288888889,6.84,18.44,10.78,5,3,False,False,False,False,2.6959064327485383
Lake Rouge Suurjarv,Estonia,1,4,57.727731,57.72932,26.92051,26.922556,2.2,4.0,2.59,4,4,True,False,False,False,1.8181818181818181
Fremont Lake #18,United States of America (the),1,4,41.43837,41.43837,-96.54097,-96.54097,3.45,4.0,3.865,4,4,True,False,False,False,1.1594202898550725
"Apalachicola River, FL",United States of America (the),4,4,29.7269333333333,29.74705,-85.0049333333333,-84.9364666666667,3.1,25.3333333333335,7.64499999999996,4,3,False,False,False,False,8.172043010752741
"Blackbird Creek, DE",United States of America (the),1,4,39.3867666666667,39.431019,-75.63675,-75.599422,53.6,89.3,69.4,4,1,True,False,False,False,1.6660447761194028
Ullswater,United Kingdom of Great Britain and Northern Ireland (the),1,4,54.55146,54.60091,-2.94359,-2.83092,0.717,1.2165,0.893,4,1,True,False,False,False,1.6966527196652719
Lake Saadjarv,Estonia,1,4,58.52953,58.54547,26.6344,26.67547,1.14,2.33,2.17,4,2,True,False,False,False,2.0438596491228074
Lake Taupo,New Zealand,1,4,-38.777817,-38.734249,175.97537,176.041422,1.14,1.6,1.2,4,2,True,False,False,False,1.4035087719298247
Theewaterskloof,South Africa,1,9,-34.029,-34.029,19.209,19.209,9.78888888888889,29.12,15.725,4,4,True,False,False,False,2.974801362088536
Lake Brunner,New Zealand,1,4,-42.636564,-42.59131,171.4452,171.495,0.6333,1.7,0.95,4,2,True,False,False,False,2.684351807989894
"Murderkill River, DE",United States of America (the),4,4,39.0118,39.05255,-75.4551166666667,-75.3981833333333,21.8,32.7,25.6,4,1,False,False,False,False,1.5
Lake Lucerne,Switzerland,1,4,46.97786,47.01543,8.33435,8.50691,0.45,4.32,1.665,4,1,True,False,False,False,9.6
"Patuxent River, MD",United States of America (the),4,4,38.33997,38.70016,-76.69475,-76.48605,9.0,20.3,14.75,4,2,False,False,False,False,2.2555555555555555
Rainbow Flowage,United States of America (the),1,4,45.83628,45.87842,-89.54036,-89.49236,3.47,6.4,5.7,4,2,True,False,False,False,1.8443804034582132
Lake Winneconne,United States of America (the),1,4,44.14304,44.1431,-88.73563,-88.73547,10.0,40.0,20.0,4,4,True,False,False,False,4.0
"Winyah Bay, SC",United States of America (the),2,4,33.2024666666667,33.3021333333333,-79.2799833333333,-79.1802666666667,27.8,36.7542857142854,32.99031877876325,4,1,False,False,False,False,1.3220966084275325
Lake Biel,Switzerland,1,4,47.06773333,47.12693333,7.170333333,7.226616667,1.984,6.034,2.4539999999999997,4,1,True,False,False,False,3.04133064516129
Bronkhorstspruit,South Africa,1,4,-25.905831,-25.894009,28.690543,28.704137,7.6,13.0,10.5,4,2,True,False,False,False,1.7105263157894737
"Corpus Christi Bay, TX",United States of America (the),2,4,27.7724583333333,27.82395,-97.3864805555556,-97.3604,19.81,26.0699999999998,23.46999999999965,4,2,False,False,False,False,1.3160020191822213
"Delaware Bay, DE",United States of America (the),2,4,39.0573833333333,39.0779166666667,-75.39485,-75.3766,11.5,14.4,13.100000000000001,4,1,False,False,False,False,1.2521739130434784
Alcántara,Spain,1,4,39.7052777777778,39.7277777777778,-6.48067682537711,-6.4666525701624,4.35,20.43,13.44,4,1,True,False,False,False,4.696551724137931
Lake Eucumbene,Australia,1,4,-36.146002,-36.0540579,148.6819566,148.766988,1.17,2.44,1.685,4,2,True,False,False,False,2.0854700854700856
Lake Jasień Północny,Poland,1,4,54.30252,54.30252,17.61468,17.61468,1.3,3.333,2.1,4,4,True,False,False,False,2.563846153846154
"Lafayette River, VA",United States of America (the),4,4,36.8880415,36.9070166666667,-76.3139715,-76.2766935,63.1891891891892,100.8,72.360956618465,4,2,False,False,False,False,1.595209580838323
Hibara,Japan,1,4,37.65408333,37.72052778,140.05075,140.0566944,1.04,1.28,1.0550000000000002,4,1,True,False,False,False,1.2307692307692308
Lake Dartmouth,Australia,1,4,-36.6018601,-36.5565316,147.5329733,147.6060067,1.407,1.667,1.543,4,3,True,False,False,False,1.1847903340440653
