Site_name,Country,Water_body_type,n_raw,lat_min,lat_max,lon_min,lon_max,TSS_min,TSS_max,TSS_median,n_group,n_unique_dates,is_lake_reservoir,eligible_n_group_ge20,eligible_n_group_ge15,eligible_n_group_ge10,tss_dynamic_range_ratio
"San Antonio Bay, TX",United States of America (the),2,1,28.2061944444444,28.2061944444444,-96.8225,-96.8225,31.92,31.92,31.92,1,1,False,False,False,False,1.0
Sakatah,United States of America (the),1,1,44.22694,44.22694,-93.51833,-93.51833,19.788,19.788,19.788,1,1,True,False,False,False,1.0
Rotognaroiti,New Zealand,1,1,-37.477005,-37.477005,175.107934,175.107934,134.94,134.94,134.94,1,1,True,False,False,False,1.0
Rotognaro,New Zealand,1,1,-37.485,-37.485,175.11756,175.11756,51.5,51.5,51.5,1,1,True,False,False,False,1.0
Hilversums Kanaal,Netherlands (the),4,1,52.23297,52.23297,5.06738,5.06738,21.0,21.0,21.0,1,1,False,False,False,False,1.0
Hauroko,New Zealand,1,1,-45.996582,-45.996582,167.329983,167.329983,0.1733,0.1733,0.1733,1,1,True,False,False,False,1.0
Haringvliet,Netherlands (the),2,1,51.822017,51.822017,4.039617,4.039617,3.00999999999974,3.00999999999974,3.00999999999974,1,1,False,False,False,False,1.0
"Gulf of Mexico, TX",United States of America (the),3,1,27.8438611111111,27.8438611111111,-97.037534,-97.037534,1.95,1.95,1.95,1,1,False,False,False,False,1.0
Lake B,New Zealand,1,1,-37.679104,-37.679104,175.247701,175.247701,58.0,58.0,58.0,1,1,True,False,False,False,1.0
Lake Aviemore,New Zealand,1,1,-44.62052,-44.62052,170.304774,170.304774,1.8,1.8,1.8,1,1,True,False,False,False,1.0
"Great Pee Dee River, SC",United States of America (the),4,1,33.3534833333333,33.3534833333333,-79.2720666666667,-79.2720666666667,33.2758620689661,33.2758620689661,33.2758620689661,1,1,False,False,False,False,1.0
"Intracoastal Waterway, FL",United States of America (the),2,1,27.1023,27.1023,-82.4432166666667,-82.4432166666667,29.8099999999999,29.8099999999999,29.8099999999999,1,1,False,False,False,False,1.0
Ijsselmeer De Oude Zeug,Netherlands (the),1,1,52.8591,52.8591,5.10345,5.10345,23.9333333333332,23.9333333333332,23.9333333333332,1,1,True,False,False,False,1.0
Ijmeer Durgerdam,Netherlands (the),1,1,52.377367,52.377367,4.9906,4.9906,7.27000000000011,7.27000000000011,7.27000000000011,1,1,True,False,False,False,1.0
"Roberts Bay, FL",United States of America (the),2,1,27.1096166666667,27.1096166666667,-82.4545666666667,-82.4545666666667,29.5333333333335,29.5333333333335,29.5333333333335,1,1,False,False,False,False,1.0
"Rhode River, MD",United States of America (the),4,1,38.86559,38.86559,-76.51367,-76.51367,20.3,20.3,20.3,1,1,False,False,False,False,1.0
"St. Leonard Creek, MD",United States of America (the),2,1,38.39433,38.39433,-76.50338,-76.50338,11.1,11.1,11.1,1,1,False,False,False,False,1.0
"South River, MD",United States of America (the),4,1,38.92302,38.92302,-76.50906,-76.50906,14.8,14.8,14.8,1,1,False,False,False,False,1.0
"South End Ceek, GA",United States of America (the),2,1,31.39631,31.39631,-81.280065,-81.280065,9.8,9.8,9.8,1,1,False,False,False,False,1.0
Francis,United States of America (the),1,1,44.21073,44.21073,-93.69412,-93.69412,5.936666667,5.936666667,5.936666667,1,1,True,False,False,False,1.0
Fox River,United States of America (the),4,1,44.53722,44.53722,-88.00648,-88.00648,12.0,12.0,12.0,1,1,False,False,False,False,1.0
"Fork Branch, DE",United States of America (the),1,1,39.18335,39.18335,-75.5476,-75.5476,4.0,4.0,4.0,1,1,True,False,False,False,1.0
Elysian,United States of America (the),1,1,44.19646,44.19646,-93.6591,-93.6591,65.048,65.048,65.048,1,1,True,False,False,False,1.0
"Elizabeth River, VA",United States of America (the),4,1,36.8831498333333,36.8831498333333,-76.3331821666667,-76.3331821666667,116.058823529412,116.058823529412,116.058823529412,1,1,False,False,False,False,1.0
Grevelingen,Netherlands (the),1,1,51.777033,51.777033,3.86735,3.86735,7.61499999999993,7.61499999999993,7.61499999999993,1,1,True,False,False,False,1.0
"Derby Pond, DE",United States of America (the),1,1,39.0857,39.0857,-75.5599166666667,-75.5599166666667,5.4,5.4,5.4,1,1,True,False,False,False,1.0
"Cumberland Sound, GA",United States of America (the),3,1,30.71625,30.71625,-81.47334,-81.47334,8.74122461484586,8.74122461484586,8.74122461484586,1,1,False,False,False,False,1.0
"Corpus Christi Ship Channel, TX",United States of America (the),2,1,27.8197361111111,27.8197361111111,-97.1883555555556,-97.1883555555556,19.18,19.18,19.18,1,1,False,False,False,False,1.0
Coniston Water,United Kingdom of Great Britain and Northern Ireland (the),1,1,54.36213,54.36213,-3.06247,-3.06247,1.98,1.98,1.98,1,1,True,False,False,False,1.0
"Canoochee River, GA",United States of America (the),4,1,31.9835,31.9835,-81.3266,-81.3266,10.631578947368,10.631578947368,10.631578947368,1,1,False,False,False,False,1.0
Cannon,United States of America (the),1,1,44.27616,44.27616,-93.34875,-93.34875,28.316,28.316,28.316,1,1,True,False,False,False,1.0
Breukeleveensche- of Stille Plas,Netherlands (the),1,1,52.18365,52.18365,5.08337,5.08337,33.5,33.5,33.5,1,1,True,False,False,False,1.0
BovenMerwede,Netherlands (the),4,1,51.829117,51.829117,4.962917,4.962917,22.6799999999994,22.6799999999994,22.6799999999994,1,1,False,False,False,False,1.0
"Dona Bay, FL",United States of America (the),2,1,27.116179,27.116179,-82.453738,-82.453738,25.0539419087135,25.0539419087135,25.0539419087135,1,1,False,False,False,False,1.0
"Combahee River, SC",United States of America (the),4,1,32.5060833333333,32.5060833333333,-80.5308583333333,-80.5308583333333,29.59,29.59,29.59,1,1,False,False,False,False,1.0
Serpentine North,New Zealand,1,1,-37.942198,-37.942198,175.319025,175.319025,1.38,1.38,1.38,1,1,True,False,False,False,1.0
Wijde Gat,Netherlands (the),1,1,52.23385,52.23385,5.07971,5.07971,45.0,45.0,45.0,1,1,True,False,False,False,1.0
"Wicomico River, MD",United States of America (the),4,1,38.25637,38.25637,-75.83367,-75.83367,20.7,20.7,20.7,1,1,False,False,False,False,1.0
Waterleidingplas,Netherlands (the),1,1,52.21465,52.21465,5.04428,5.04428,1.23,1.23,1.23,1,1,True,False,False,False,1.0
"Wassau Sound, GA",United States of America (the),3,1,31.9248333333333,31.9248333333333,-80.9670833333333,-80.9670833333333,15.5347500000001,15.5347500000001,15.5347500000001,1,1,False,False,False,False,1.0
Vecht (Breukelen/Nieuwersluis),Netherlands (the),4,1,52.20593,52.20593,5.02154,5.02154,14.88,14.88,14.88,1,1,False,False,False,False,1.0
Amsterdam-Rijn kanaal Weesp,Netherlands (the),4,1,52.305917,52.305917,5.02155,5.02155,12.0300000000002,12.0300000000002,12.0300000000002,1,1,False,False,False,False,1.0
Amsterdam-Rhine Canal,Netherlands (the),4,1,52.17486,52.17486,4.99403,4.99403,16.0,16.0,16.0,1,1,False,False,False,False,1.0
Amer,Netherlands (the),4,1,51.7099,51.7099,4.815033,4.815033,6.65000000000004,6.65000000000004,6.65000000000004,1,1,False,False,False,False,1.0
"Altamaha Sound, GA",United States of America (the),2,1,31.3207,31.3207,-81.3169833333333,-81.3169833333333,38.1400000000003,38.1400000000003,38.1400000000003,1,1,False,False,False,False,1.0
Vecht (Loenen),Netherlands (the),4,1,52.2022,52.2022,5.0206,5.0206,8.02,8.02,8.02,1,1,False,False,False,False,1.0
"Oneida Lake, NY",United States of America (the),1,8,43.18,43.229,-76.046,-75.77,0.5,3.5,1.7,0,0,True,False,False,False,7.0
Northern Gulf of Mexico,United States of America (the),3,65,27.5453,30.123,-93.6729,-88.0372,0.087274775,8.633920362,0.824499411,0,0,False,False,False,False,98.92801627961802
Lurefjorden,Norway,5,5,60.55992,60.7182,5.06772,5.23085,8.56,18.67,11.06,0,0,False,False,False,False,2.1810747663551404
Lake Champlain,United States of America (the),1,9,44.04233333,45.02766667,-73.43016667,-73.12975,0.3,6.4,1.2,0,0,True,False,False,False,21.333333333333336
Hardangerfjorden,Norway,5,5,59.73129,60.0964,5.48445,5.95149,14.7,23.8,20.13,0,0,False,False,False,False,1.619047619047619
Gaupnefjorden,Norway,5,4,61.37256,61.38475,7.31008,7.33819,10.02,15.91,14.870000000000001,0,0,False,False,False,False,1.5878243512974053
